Medalist,Region,🏆 Premium,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude,Transparency
Jörg Geiger,Germany,14,15,14,2,45,2016,2024,6,Active,https://www.manufaktur-joerg-geiger.de/,https://www.facebook.com/manufakturjoerggeiger/,https://www.instagram.com/manufakturjoerggeiger/,https://maps.google.com/?cid=908271853334307402,,https://untappd.com/w/manufaktur-jorg-geiger/270857,48.6524936,9.7049199,0
Sidra Viuda de Angelón,Asturias,4,11,14,16,45,2013,2023,11,Active,http://www.sidraviudaangelonpomar.es/,https://www.facebook.com/sidrapomar.viudaangelon/,https://www.instagram.com/Sidraviudaangelon/,https://maps.google.com/?cid=13173562328637195239,,https://untappd.com/w/viuda-de-angela3n/142823,43.367684,-5.523426,0
Sidra Panizales,Asturias,9,12,5,6,32,2013,2023,10,Active,https://sidrapanizales.com/,https://www.facebook.com/panizales.sidra,https://www.instagram.com/sidrapanizales/,https://maps.google.com/?cid=16258480851124885832,https://www.tripadvisor.com/Restaurant_Review-g775263-d7621234,https://untappd.com/w/llagar-panizales/152401,43.2393192,-5.7888756,0
Maley,Italy,4,8,12,1,25,2016,2024,9,Active,https://www.maleymontblanc.com/,,,https://maps.google.com/?cid=94166741695887894,,https://untappd.com/brewery/29291,45.7320629,7.4141172,0
Sidra Riestra,Asturias,4,9,8,3,24,2014,2024,10,Active,http://www.sidrariestra.com/,https://www.facebook.com/SidraRiestra,https://www.instagram.com/sidrariestra/,https://maps.google.com/?cid=2253085342105400787,,https://untappd.com/w/riestra/70601,43.416536,-5.580949,0
Mr. Plūme,Latvia,4,5,8,4,21,2018,2024,7,Active,https://www.mrplume.lv/,https://www.facebook.com/mrplumesidrs,https://www.instagram.com/mrplume_sidrs/,https://maps.google.com/?cid=9319841841199759114,,https://untappd.com/w/mr-plume/332485,56.69531,24.9870439,0
Cidrerie Berri,Basque Country,2,1,5,8,16,2016,2022,6,Active,https://txopinondo.fr/,https://www.facebook.com/txopinondo,https://www.instagram.com/cidrerie_berri_txopinondo/,https://maps.google.com/?cid=14446292626809718341,https://www.tripadvisor.com/Restaurant_Review-g1118261-d2139433,https://untappd.com/w/cidrerie-txopinondo/215570,43.364722,-1.6375,0
Cider Sekt,Czechia,5,3,7,0,15,2019,2024,6,Active,https://www.cidersekt.cz/,https://www.facebook.com/cidertalk/,https://www.instagram.com/cidertalk/,https://maps.google.com/?cid=1744130511388226457,,https://untappd.com/w/provoco/396367,49.1136589,14.1662619,0
Kuartango,Basque Country,3,3,6,3,15,2019,2024,6,Active,https://kuartangosagardotegia.com/,https://www.facebook.com/SidreKuartango/,https://www.instagram.com/sidrekuartango/,https://maps.google.com/?cid=6181081338579081204,https://www.tripadvisor.com/Restaurant_Review-g25546823-d25546810,https://untappd.com/w/sidreria-kuartango/438568,42.8705185,-2.8873347,0
Sidra Posma,Canary Islands,3,3,6,3,15,2014,2024,8,Active,,https://www.facebook.com/profile.php?id=100063717535205,,,,https://untappd.com/w/posma/512334,28.4740184,-16.4337954,0
Mooma,Catalonia,2,1,6,6,15,2016,2024,5,Active,https://mooma.cat/,https://www.facebook.com/sidreriamooma/,https://www.instagram.com/mooma/,https://maps.google.com/?cid=11350926811080988766,https://www.tripadvisor.com/Restaurant_Review-g3501872-d13815642,https://untappd.com/w/mooma/254950,42.0007312,3.133318,0
Écusson,France,0,9,3,3,15,2015,2018,4,Active,https://www.cidre-ecusson.com/,https://www.facebook.com/CidreEcusson/,https://www.instagram.com/cidreecusson/,,,https://untappd.com/w/cidres-ecusson/15641,48.8279643,2.2657746,0
Cydr Chyliczki,Poland,1,3,8,2,14,2016,2020,4,Active,https://cydrchyliczki.pl/,https://www.facebook.com/cydrchyliczki/,https://www.instagram.com/cydrchyliczki/,,,https://untappd.com/w/cydr-chyliczki/271740,51.702596,20.846746,0
Lagar de Valleseco,Canary Islands,1,2,6,5,14,2020,2024,5,Active,,https://www.facebook.com/sidralagardevalleseco/,,https://maps.google.com/?cid=6485664555068943913,,https://untappd.com/w/angel-dominguez-ponce/511926,28.0703635,-15.5600184,0
Domaine de la Mare,France,0,0,8,6,14,2018,2023,6,Active,https://www.domainedelamare.com/,,,https://maps.google.com/?cid=11844878661689216154,,https://untappd.com/w/domaine-de-la-mare/511923,48.039019,0.233564,0
Casería San Juan del Obispo,Asturias,4,6,1,2,13,2013,2023,10,Active,https://www.caseriasanjuandelobispo.com/,,,https://maps.google.com/?cid=13956526212503892929,,https://untappd.com/w/caseria-san-juan-del-obispo/285141,43.371989,-5.740553,0
Stonewell Cider,Ireland,2,2,7,2,13,2016,2024,4,Active,https://www.stonewellcider.com/,https://www.facebook.com/stonewellcider,https://www.instagram.com/stonewellcider/,https://maps.google.com/?cid=6638378960827420170,,https://untappd.com/Nohoval_Drinks_Company_Ltd,51.8093009,-8.3699975,0
Urban Farm Fermentory,United States,1,2,5,5,13,2018,2023,5,Inactive,,,,,,,43.669113,-70.256105,1
Cydrownia Zywer,Poland,0,3,5,4,12,2021,2024,4,Active,https://zywer.pl/,https://www.facebook.com/CydrowniaZywer,https://www.instagram.com/cydrowniazywer/,https://maps.google.com/?cid=10041242298570436703,,https://untappd.com/cydrowniazywer,49.996234,22.315285,0
