COUNTA of Award,Award,col2,col3,col4,col5
Medalist,🏆 Premium,🥇 Gold,🥈 Silver,🥉 Bronze,Grand Total
1785 Cider,,,3,1,4
Abuls,,1,5,3,9
Æblerov,,,1,,1
Andersen Winery,,,1,1,2
Angry Orchard,,,1,,1
Araújo Monte,,,1,,1
Astarbe,,,1,,1
Bacha! Cidre,,,1,,1
Baldorba Naturel & Sagarraleku,,1,5,2,8
Bear Cider,,,1,2,3
Bembel With Care,,,1,,1
Berryland,,,1,1,2
Boneca de Canudo,,,,3,3
Brännland Cider,,3,,,3
Brinkhall Sparkling,,1,5,1,7
Carlow Brewing Company,,,5,,5
Casería San Juan del Obispo,4,6,1,2,13
Castelo Branco Cider,,,1,5,6
Cider Bohemia,,,3,,3
Cider Magnetic Apple,,,2,2,4
Cider Sekt,5,3,7,,15
Cidérka,,3,5,2,10
Cidre Mauret,5,1,,1,7
Cidre99,,,1,,1
Cidrerie Berri,2,1,5,8,16
Cidrerie et Distillerie Pelletier,,,,1,1
Cold Hand Winery,,2,,,2
Colemans Cider Company,,,3,2,5
Cotswold Cider Company,,,1,,1
Cydr Chyliczki,1,3,8,2,14
Cydr Dwaj Bracia,1,,1,4,6
Cydr Ignaców,,1,,,1
Cydr Jabłkowy,,1,2,1,4
Cydr Opoczka,,,,1,1
Cydr Podlaski,,1,2,,3
Cydr Smykan,,,1,3,4
Cydr Starków,,,1,,1
Cydr Tradycyjny z Trzebnicy,,2,,5,7
Cydrownia Zywer,,3,5,4,12
Czar Czerniejowa,,,,1,1
Doggerland Craft Cider,,,,1,1
Domaine de la Mare,,,8,6,14
Écusson,,9,3,3,15
Egiazki,,1,2,,3
El Molín del Nora,,1,,,1
El Piloñu,,,,1,1
Elegast Cidery,,,3,5,8
Eva Group,,1,4,3,8
Exner Cider,2,1,1,2,6
F.H. Prager,,2,,,2
Finca La Rionda,1,,1,,2
Fjordfolk Mikrobryggeri,1,,1,2,4
Frux Solis,,,1,1,2
Fukiware Cidrerie,2,,1,1,4
Gartziategi,,,2,,2
Hera Cider,,1,1,1,3
Herbsts,,,,1,1
Hogan's Cider,,,,2,2
Iessel Cider,,,3,,3
Israel Hernández del Valle,,,,1,1
Iturrieta Sagardotegia,1,,,,1
Jaanihanso,,1,3,1,5
Jörg Geiger,14,15,14,2,45
Kolowratovy Sady,,,1,1,2
Kuartango,3,3,6,3,15
Kühbrein Most,,,1,,1
Kystin,,3,,,3
La Cave du Tisquin,,,2,,2
La Maison Ferré,1,1,1,1,4
La Mala Sidra Espumosa,,1,1,,2
Lagar de Valleseco,1,2,6,5,14
Landsteiner Mühle,,1,,,1
Lauskis,1,,,1,2
Les Vergers de Kermao,,,1,,1
Les Vergers de la Morinière,,,2,,2
Lion Ciders,,1,1,,2
Llagares Valverán,1,3,2,,6
Lucia Maria Melchiori,1,,1,2,4
Magic Apple,,1,,,1
Magritte Cider,,,,1,1
Maley,4,8,12,1,25
Markenhof,,,3,1,4
Mistérios da Quinta,,,5,4,9
Mooma,2,1,6,6,15
Mr. Plūme,4,5,8,4,21
Mūrbūdu,,,2,,2
Naturcidre,1,2,4,2,9
Nerø Frukt og Sider,,2,,1,3
Oiharte,,1,3,1,5
Ola,,,,1,1
Opre',,,1,1,2
Ottercider,,,,1,1
Paladeus,1,,3,,4
Pedro El Duque,1,,,,1
Petritegi,1,3,5,1,10
Pfeiffer's Cider,,1,1,1,3
Pica Pica,,1,3,1,5
Pivovar Steiger,,1,,,1
Pom Sidro Creativo,,,,1,1
První Prajzské,,,1,1,2
Ramborn Cider Co.,,1,4,1,6
RAW Cider Co.,,,1,,1
Romaria,,,1,1,2
Rossbach Cider,,,8,4,12
Seidear,1,3,3,,7
Sendero del Valle,,1,5,,6
Seppelbauer,,,3,2,5
Sidra Alfa,1,,2,2,5
Sidra Carral,,,4,5,9
Sidra Castañón,1,3,1,1,6
Sidra Cortina,1,2,2,2,7
Sidra Della Chà,,,2,1,3
Sidra do Massa,,,2,,2
Sidra El Gaitero,,2,,,2
Sidra El Gobernador,,1,,,1
Sidra Fierro,,,,1,1
Sidra Fran,2,2,2,2,8
Sidra La Naveta,1,3,4,3,11
Sidra M. Norniella,,1,1,1,3
Sidra Mayador,,1,2,3,6
Sidra Niebla,,1,2,2,5
Sidra Panizales,9,12,5,6,32
Sidra Posma,3,3,6,3,15
Sidra Riestra,4,9,8,3,24
Sidra Somarroza,,1,,,1
Sidra Trabanco,,,3,,3
Sidra Viuda de Angelón,4,11,14,16,45
Sidrada,,,1,3,4
Sidras Tuscany,,,4,,4
Sidrería TenCai,,,1,2,3
Sidro MelaGodo,1,,2,,3
Sidro Vittoria,,,,1,1
Sodo Sidrinė,,1,,1,2
Somerset Cider Brandy & Burrow Hill Cider,,,1,1,2
Son of Man,,,,1,1
Stonewell Cider,2,2,7,2,13
Sxollie,,1,,,1
Szczepanówka,,,2,,2
Tālava,2,1,4,4,11
Templars Cider,,,2,,2
Thatchers Cider,,,1,,1
The Drunken Pharmacist,,,,1,1
The Pippa,,1,,,1
Topa Cidre,,1,,,1
Tori Siidritalu,1,2,3,,6
Tre Rii,,,3,2,5
Urban Farm Fermentory,1,2,5,5,13
Valduro,,,,1,1
Vinos Tendal,,1,,,1
Grand Total,95,175,332,216,818
