Region,🏆 Premium,🥇 Gold,🥈 Silver,🥉 Bronze,Total
Asturias,28,58,40,43,169
Basque Country,5,8,25,18,56
Germany,11,16,21,6,54
Poland,2,11,18,21,52
France,5,13,19,12,49
Czechia,5,8,26,10,49
Italy,7,5,21,7,40
Latvia,6,6,12,10,34
Canary Islands,4,6,14,8,32
Portugal,1,0,9,12,22
United States,1,2,7,6,16
Netherlands,0,0,7,8,15
England,0,1,6,5,12
Catalonia,1,0,6,3,10
Estonia,1,2,3,1,7
Norway,1,2,1,3,7
Ireland,1,0,4,2,7
Finland,0,1,5,1,7
León,0,0,4,3,7
Chile,0,0,3,4,7
Luxembourg,0,1,4,1,6
Austria,0,0,4,2,6
Scotland,1,2,2,0,5
Denmark,0,2,2,1,5
Sweden,0,3,0,0,3
Galicia,0,1,1,1,3
Slovakia,0,1,1,1,3
Peru,0,1,1,0,2
Japan,0,0,1,1,2
Ukraine,0,0,1,1,2
Cantabria,0,1,0,0,1
Belgium,0,0,0,1,1
Total,80,151,268,192,691
