Style,Medal,Entry,Medalist
Modern Cider – Sweet,Gold,Event Blend,Arsenal Cider House
Modern Cider – Sweet,Silver,Ace Apple Craft Cider,California Cider Company
Modern Cider – Sweet,Bronze,Eden’s Apple,Heritage Estate Winery and Cidery
Modern Cider – Sweet,Bronze,Hard Apple Cider,Rekorderling Hard Cider
Modern Cider – Dry,Gold,Dragon’s Gold,Heritage Estate Winery and Cidery
Modern Cider – Dry,Silver,U Jays Modern Cider,Jeffrey Carlson
Modern Cider – Dry,Bronze,Michigan Brut,Virtue Cider
Heritage Cider – Sweet,Silver,Maeloc Sparkling Organic Cider,Maeloc Cider
Heritage Cider – Sweet,Bronze,Albany Post,Angry Orchard
Heritage Cider – Dry,Gold,Magners Original Irish Cider,Vermont Cider Company
Heritage Cider – Dry,Silver,Heirloom Cider,Heritage Estate Winery and Cidery
Heritage Cider – Dry,Bronze,Maeloc Dry Cider,Maeloc Cider
Traditional Cider – Sweet (French),Gold,2017 Cider Bouch,2 Towns Ciderhouse
Traditional Cider – Sweet (French),Silver,Ferme de Romilly Doux (Sweet) Cidre de Normandie,Ferme de Romilly
Traditional Cider – Sweet (French),Bronze,Crisp Apple,Angry Orchard Cider
Traditional Cider – Dry (English),Gold,Dry Apple,The Good Cider of San Sebastian
Traditional Cider – Dry (English),Gold,Woodchuck 802 Collection: Lil’ Dry,Vermont Cider Company
Traditional Cider – Dry (English),Silver,Angry Orchard Foranna,Angry Orchard Cider Co.
Traditional Cider – Dry (English),Bronze,Harvest Scrumpy Russet Cider,Niagara College Teaching Cidery
Perry,Gold,Magners Pear Irish Cider,Vermont Cider Company
Perry,Silver,Angry Orchard Perry,Angry Orchard Cider Co.
Perry,Bronze,Pear,The Good Cider of San Sebastian
Fruit Cider,Gold,Dragon Fruit,AVID Cider Company
Fruit Cider,Silver,Peach County,Ciderboys Hard Cider
Fruit Cider,Bronze,Blood Orange Tangerine,Common Cider Company
Pineapple Cider,Gold,Pacific Pineapple,2 Towns Ciderhouse
Pineapple Cider,Silver,Caribe Tropical Hard Cider Pineapple,Florida Beer Company
Pineapple Cider,Bronze,Pineapple Hula,Ciderboys Hard Cider
Cherry Cider,Gold,Cherry on Top,Niagara College Teaching Cider
Cherry Cider,Silver,Michigan Cherry,Virtue Cider
Cherry Cider,Bronze,Wild on Cherry,Urban Tree Hard Cider
Fruit and Berry Cider,Gold,Rasé,Ragged Hill Cider Company
Fruit and Berry Cider,Gold,Strawberry Magic,Ciderboys Hard Cider
Fruit and Berry Cider,Silver,Marionberry Cider,Incline Cider Company
Fruit and Berry Cider,Silver,Cranberry Hard Cider,One Tree Hard Cider
Fruit and Berry Cider,Bronze,Troppi Poppi,d’s Wicked Cider
Applewine,Gold,Applewine,Heritage Estate Winery and Cidery
Applewine,Silver,The Perfect 10,Portland Cider Company
Applewine,Bronze,First-State-Cider,Liquid Alchemy Ciderworks
Herbal Cider,Gold,Suzie’s Honeysuckle Cider,Ding Dog Brewing
Herbal Cider,Silver,Lemongrass Ginger Cider,Rhinegeist Cidergeist
Herbal Cider,Silver,Cucumber Mint,Vermont Cider Company
Herbal Cider,Bronze,Rose Hip Rosemary,Hidden Cave Cider
Hopped Cider,Gold,Hopshot,Meriwether Cider Company
Hopped Cider,Silver,Hop Rageous,Portland Cider Company
Hopped Cider,Bronze,Fresh Hop Hop & Stalk,2 Towns Ciderhouse
Hopped Cider,Bronze,The Explorer Hopped,Incline Cider Company
Apple Pie Spiced Cider,Gold,Mad Bark,Ciderboys Hard Cider
Apple Pie Spiced Cider,Silver,Grant’s Flying Pumpkin,Arsenal Cider House
Apple Pie Spiced Cider,Silver,Apple Pie a la Mode Hard Cider,Turquoise Barn Cider
Apple Pie Spiced Cider,Bronze,Cardinal Sin,Broski Ciderworks
Spiced Cider,Gold,Hibiscus Ginger,Glacial Till Vineyard & Winery
Spiced Cider,Silver,Grierson’s Ginger,Arsenal Cider House
Spiced Cider,Bronze,Cider Donut,1911 Established
Wood-Aged Cider and Perry,Gold,Barrel 78,Bold Rock Hard Cider
Wood-Aged Cider and Perry,Silver,The Mitten,Virtue Cider
Wood-Aged Cider and Perry,Bronze,I Am Brut,Green Bench Mead and Cider
Specialty Cider and Perry,Gold,Perry Good,Urban Tree Hard Cider
Specialty Cider and Perry,Silver,Hip Hop,Big B’s Hard Cider
Specialty Cider and Perry,Bronze,ACE Perry Craft Cider,California Cider Company
Unlimited Cider and Perry,Gold,Cidre Beaupré Original,Cidrerie Beaupré
Unlimited Cider and Perry,Silver,First Press,Ciderboys Hard Cider
Unlimited Cider and Perry,Bronze,Organic Perry,Samuel Smith’s Brewery
Anything Goes,Gold,Post Melone,Broski Ciderworks
Anything Goes,Silver,Roast,Bold Rock Hard Cider
Anything Goes,Bronze,Blueberry-Apple Sangria,Heritage Estate Winery & Cidery
Single Varietal Cider,Gold,Broken Hearts Are for Apples,Arsenal Cider House
Single Varietal Cider,Silver,Golden Russet,Stoic Cider
Single Varietal Cider,Bronze,Woodchuck Granny Smith,Vermont Cider Company
