Style,Medal,Entry,Medalist,Region
Modern Cider – Sweet,Gold,Original,Glacial Till Vineyard & Winery,Nebraska
Modern Cider – Sweet,Silver,First Press,Ciderboys Hard Cider,Wisconsin
Modern Cider – Sweet,Bronze,Daily Rations,Arsenal Cider House,Pennsylvania
Modern Cider – Dry,Gold,Cider 101,Niagara College Teaching Cidery,Ontario
Modern Cider – Dry,Silver,BrightCider,2 Towns Ciderhouse,Oregon
Modern Cider – Dry,Bronze,Dry Cider,Houston Cider Company,Texas
Heritage Cider – Sweet & Dry,Gold,Heirloom,Bent Ladder,Ohio
Heritage Cider – Sweet & Dry,Silver,Cider Maker Series - Ian,Far from the Tree,Massachusetts
Heritage Cider – Sweet & Dry,Bronze,Harry Masters Jersey,Big B’s Hard Cider,Colorado
Traditional Cider – Sweet & Dry,Gold,Heirloom Cider,Heritage Estate Winery & Cidery,Ontario
Traditional Cider – Sweet & Dry,Silver,Cooneys Irish Cider,Adams Cider Company,Ireland
Traditional Cider – Sweet & Dry,Bronze,Devils Bit Irish Cider,Adams Cider Company,Ireland
Fruit Cider,Gold,Brass Ring,Virtue Cider,Michigan
Fruit Cider,Silver,Pomegrante Craft Cider,Atlanta Hard Cider,Georgia
Fruit Cider,Bronze,Staycation,One Tree Hard Cider,Washington
Fruit Cider,Bronze,Caribe Blood Orange Tropical Hard Cider,Florida Beer Co.,Florida
Perry & Pear Cider,Gold,Organic Perry,Samuel Smith’s Brewery,England
Perry & Pear Cider,Silver,Wyders Pear,Vermont Cider,Vermont
Perry & Pear Cider,Bronze,Pear,Wild State Cider,Minnesota
Pineapple Cider,Gold,Passion Pineapple,Glacial Till Vineyard & Winery,Nebraska
Pineapple Cider,Silver,White Pineapple Cider,Ola Brew Co.,Hawaii
Pineapple Cider,Bronze,Tiki Tonik,Diskin Cider,Tennessee
Pineapple Cider,Bronze,Wyders Prickly Pineapple,Vermont Cider Company,Vermont
Cherry Cider,Gold,Cherish,Broski Ciderworks,Florida
Cherry Cider,Silver,Cherry Cider,Two K Farms,Michigan
Cherry Cider,Bronze,BTC,Diskin Cider,Tennessee
Peach Cider,Gold,Peach County,Ciderboys,Wisconsin
Peach Cider,Silver,Peach in Cider,Cigar City Cidery,Florida
Peach Cider,Bronze,McKenzie’s Peach Tea Hard Cider,McKenzie’s Hard Cider,New York
Sangria Cider,Gold,Sangria,Coyote Hole Ciderworks,Virginia
Sangria Cider,Silver,Woodchuck Sangria,Vermont Cider,Vermont
Sangria Cider,Bronze,Sidra Sangria,Meriwether Cider,Idaho
Strawberry,Gold,Maeloc Strawberry Cider,Maeloc Hard Ciders,Spain
Strawberry,Silver,Strawberry Magic,Ciderboys,Wisconsin
Strawberry,Bronze,Strawberry,The Good Cider,Spain
Strawberry,Bronze,Pedaler’s Road Rash Strawberry,Quantum Leap Winery,Florida
Fruit and Berry Cider,Gold,Rasé,Ragged Hill Cider Company,Massachusetts
Fruit and Berry Cider,Silver,Raspberry Rooftop,Green Bench Mead & Cider,Florida
Fruit and Berry Cider,Silver,Wild Berry,The Good Cider of San Sebastian,Spain
Fruit and Berry Cider,Bronze,Blackcurrant,Broski Ciderworks,Florida
Applewine,Gold,Apple Wine,Heritage Estate Winery & Cidery,Ontario
Applewine,Silver,The Perfect 10,Portland Cider Company,Oregon
Applewine,Bronze,Apfelwein,March First Brewing,Ohio
Herbal Cider,Gold,Lemon Basil,One Tree Hard Cider,Washington
Herbal Cider,Silver,Swizzle,Rhinegeist Cidergeist,Ohio
Herbal Cider,Bronze,Wild Flower,Sapsucker Farms Yellow Belly Cidery,Minnesota
Herbal Cider,Bronze,Hibiscus Saison,Common Cider Company,California
Hopped Cider,Gold,The Grasshopper,Cellar Door Cider,California
Hopped Cider,Gold,The Explorer Hopped,Incline Cider Company,Washington
Hopped Cider,Silver,Fido,Blake’s Hard Cider,Michigan
Hopped Cider,Bronze,ERSA,ERIS Brewery and Ciderhouse,Illinois
Apple Pie Spiced Cider,Gold,Apple Pie Cider,Wild Blossom Cider by Sycamore,North Carolina
Apple Pie Spiced Cider,Silver,Hollow Jack’d,2 Towns Ciderhouse,Oregon
Apple Pie Spiced Cider,Bronze,Baked Apple,ds Wicked Cider,Washington
Spiced Cider,Gold,Hibiscus Ginger,Glacial Till Vineyard & Winery,Nebraska
Spiced Cider,Silver,The Wanderer,Odd Brothers Craft Cider,Michigan
Spiced Cider,Bronze,Ginger Root,Meriwether Cider,Idaho
Wood-Aged Cider and Perry,Gold,Bootlegger’s Bourbon,Arsenal Cider House,Pennsylvania
Wood-Aged Cider and Perry,Silver,Yellow Belly Barrel Aged Cider,Sapsucker Farms Yellow Belly Cidery,Minnesota
Wood-Aged Cider and Perry,Bronze,It’s a barnyard sing along,Wicked Barley Brewing,Florida
Specialty Cider and Perry,Gold,Mango Foxtrot,Cider Corps,Arizona
Specialty Cider and Perry,Silver,Sultuslakur,Ægir Brugghús,Iceland
Specialty Cider and Perry,Silver,Elderflower Pear,Rhinegeist Cidergeist,Ohio
Specialty Cider and Perry,Bronze,Oh Honey,The 401 Cider Brewery,Ontario
Unlimited Cider and Perry,Gold,Original,Cidre Beaupré,Quebec
Unlimited Cider and Perry,Silver,Organic Cider,Samuel Smith’s Brewery,England
Unlimited Cider and Perry,Bronze,Urban Legend,5 Penny Hard Cider,Ohio
Anything Goes,Gold,Las Lajas,Duluth Cider,Minnesota
Anything Goes,Silver,London Fog,Clafeld Fruit Winery,Ontario
Anything Goes,Bronze,Singapore Sling,Houston Cider Company,Texas
Anything Goes,Bronze,Cider Mill Donut,Cranker’s Brewery,Michigan
Single Varietal Cider,Gold,Gravenstein,Thomas Brothers Hard Cider,California
Single Varietal Cider,Silver,Gold Rush,Arsenal Cider House,Pennsylvania
Single Varietal Cider,Bronze,Johnny B Good,Contoocook Cider,New Hampshire
Rose’ Cider,Gold,Hey Lady,Clafeld Fruit Winery,Ontario
Rose’ Cider,Silver,Daydream,Diskin Cider,Tennessee
Rose’ Cider,Bronze,Doom & Bloom,Brewdog Brewing,Ohio
