ID,Category,Award,Medalist,Entry,Region,WID,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd,Latitude,Longitude
2,Modern Cider – Sweet,🥇 GOLD,Bold Rock Hard Cider,Apple,North Carolina,152,https://boldrock.com/,https://www.facebook.com/BoldRockHardCider/,https://www.instagram.com/boldrockhardcider/,https://maps.google.com/?cid=10604087929796439877,https://www.yelp.com/biz/bold-rock-hard-cider-mills-river-mills-river,https://www.tripadvisor.com/Attraction_Review-g1552723-d8862147,https://untappd.com/v/bold-rock-mills-river-cidery/3954545,35.376397,-82.559219
3,Modern Cider – Sweet,🥈 SILVER,FX Matt Brewing Company,McKenzie’s Original,New York,408,https://www.mckbev.com/,https://www.facebook.com/McKenziesHardCider/,https://www.instagram.com/mckenzieshardcider/,https://maps.google.com/?cid=16812627050434550372,https://www.yelp.com/biz/f-x-matt-brewing-utica,https://www.tripadvisor.com/Attraction_Review-g48759-d534580,https://untappd.com/w/mckenzies-hard-cider/10931,43.1044459,-75.2455361
4,Modern Cider – Sweet,🥈 SILVER,Thornbury Craft Co.,Thornbury Premium Apple Cider,Ontario,841,https://thornburycraft.com/,https://www.facebook.com/thornburycraft,https://www.instagram.com/thornburycraft/,https://maps.google.com/?cid=17950053116977107226,https://www.yelp.com/biz/thornbury-village-cider-house-the-blue-mountains,https://www.tripadvisor.com/Attraction_Review-g676258-d12453165,https://untappd.com/w/thornbury-village-cidery-and-brewery/10936,44.5596898,-80.4459884
5,Modern Cider – Sweet,🥉 BRONZE,Blue Barn Cidery,The Westcider,New York,145,https://www.bluebarncidery.com/,,,https://maps.google.com/?cid=8104758114885529003,https://www.yelp.com/biz/blue-barn-cidery-hilton,,https://untappd.com/BlueBarnCidery,43.272706,-77.749524
6,Modern Cider – Dry,🥇 GOLD,Schilling Cider,London Dry,Washington,550,https://schillingcider.com/,https://www.facebook.com/SchillingCider/,https://www.instagram.com/schillingcider/,https://maps.google.com/?cid=12281308087911884522,,,https://untappd.com/w/schilling-cider/62413,47.347243,-122.233995
7,Modern Cider – Dry,🥈 SILVER,Vala’s Orchard Cider Co.,Goldrush Dry,Nebraska,1055,https://www.valasappleorchard.com/,https://www.facebook.com/ValasPumpkinPatch/,https://www.instagram.com/valaspumpkinpatch/,https://maps.google.com/?cid=15056510891597103165,https://www.yelp.com/biz/valas-pumpkin-patch-gretna,https://www.tripadvisor.com/Attraction_Review-g45597-d1932171,https://untappd.com/w/vala-s-pumpkin-patch/478866,41.1285802,-96.1989432
8,Modern Cider – Dry,🥉 BRONZE,Pacific Grove CiderWorks,Roll with the Punches Hard Cider,California,2193,https://pgciderworks.com/,,,https://maps.google.com/?cid=15318820905667115274,https://www.yelp.com/biz/pacific-grove-ciderworks-pacific-grove,,https://untappd.com/w/pacific-grove-ciderworks/480168,36.6152808,-121.934671
9,Modern Cider – Dry,🥉 BRONZE,Glacial Till Winery,Dry,Nebraska,294,http://www.glacialtillvineyard.com/,https://www.facebook.com/glacialtillvineyard,https://www.instagram.com/glacialtillvineyard/,https://maps.google.com/?cid=185099829414435279,https://www.yelp.com/biz/glacial-till-tasting-room-ashland,https://www.tripadvisor.com/Attraction_Review-g29709-d5832186,https://untappd.com/w/glacial-till-vineyard-and-winery/223758,41.038896,-96.368951
10,Heritage Cider,🥇 GOLD,Bent Ladder,Russet,Ohio,124,http://bentladder.com/,https://www.facebook.com/bentladder,https://www.instagram.com/bentladder/,https://maps.google.com/?cid=5886580381731979881,https://www.yelp.com/biz/rittman-orchard-rittman,https://www.tripadvisor.com/Attraction_Review-g50283-d1977165,https://untappd.com/w/bent-ladder/295757,40.9646071,-81.739989
11,Heritage Cider,🥈 SILVER,The Duxbury Cider Co.,Heritage 1650 Dry Cider,Ontario,782,https://www.theduxburyciderco.ca/,https://www.facebook.com/DuxburyCider/,https://www.instagram.com/duxburycider/,https://maps.google.com/?cid=18178962492954171012,,,https://untappd.com/w/duxbury-cider-company/87748,44.6435777,-80.6511492
