ID,Category,Award,Medalist_Original,Medalist,Entry,Region,WID
2,Modern Cider – Sweet,🥇 Gold,Apple Valley Cider Co,Apple Valley Cider Company,Semi-Sweet,CO,93
3,Modern Cider – Sweet,🥈 Silver,Arsenal Cider House,Arsenal Cider House,Grime’s,PA,97
4,Modern Cider – Sweet,🥉 Bronze,FX Matt Brewing Co.,FX Matt Brewing,McKenzie’s Original,NY,408
5,Modern Cider – Dry,🥇 Gold,Thornbury Craft Co.,Thornbury Craft Co.,Road Apples Cider,Canada,841
6,Modern Cider – Dry,🥈 Silver,Arsenal Cider House,Arsenal Cider House,Granny,PA,97
7,Modern Cider – Dry,🥈 Silver,Woodchuck Cidery,Vermont Cider Company,Pearsecco,VT,664
8,Modern Cider – Dry,🥉 Bronze,2 Towns Ciderhouse,2 Towns Ciderhouse,BrightCider,OR,67
9,Heritage Cider – Sweet,🥇 Gold,2 Towns Ciderhouse,2 Towns Ciderhouse,10th Anniversary,OR,67
10,Heritage Cider – Sweet,🥈 Silver,Trump Cidery,Trump Cidery,Donny Appleseed,VA,3489
11,Heritage Cider – Sweet,🥉 Bronze,Bent Ladder,Bent Ladder,Russet,OH,124
12,Heritage Cider – Dry,🥇 Gold,The Duxbury Cider Co. Ltd.,Duxbury Cider Company,Heritage 1650 Dry Cider,Canada,782
13,Heritage Cider – Dry,🥈 Silver,2 Towns Ciderhouse,2 Towns Ciderhouse,14th Anniversary,OR,67
14,Heritage Cider – Dry,🥉 Bronze,Vala’s Orchard Cider Co,Vala's Orchard Cider,Autumn’s Harvest,NE,1055
15,Traditional Cider,🥇 Gold,Freewater Cider Company,Freewater Cider and Wine Company,Fuji,OR,290
16,Traditional Cider,🥈 Silver,James Werner,James Werner,Driftless French,WI,3722
17,Traditional Cider,🥈 Silver,Niagara Teaching College,Niagara College Teaching Winery,Cider 101,Canada,812
18,Traditional Cider,🥉 Bronze,Thornbury Craft Co.,Thornbury Craft Co.,The Jonah,Canada,841
19,Perry,🥇 Gold,Arsenal Cider House,Arsenal Cider House,Alfred’s Pear - Son!,PA,97
20,Perry,🥇 Gold,Missing Falls Brewery,Missing Falls Brewery,Nice Pear,OH,3121
21,Perry,🥈 Silver,Jeffrey Carlson,Westside CiderWerks,PrimeTime Perry,MI,2575
22,Fruit Cider,🥇 Gold,ACE Cider,ACE Cider,ACE High Peach,CA,179
23,Fruit Cider,🥈 Silver,2 Towns Ciderhouse,2 Towns Ciderhouse,Raspberry Cosmic Crisp,OR,67
24,Fruit Cider,🥉 Bronze,Austin East Cider,Austin Eastciders,Imperial Watermelon,MI,104
25,Pineapple Cider,🥇 Gold,FX Matt Brewing Co.,FX Matt Brewing,McKenzie’s Pineapple,NY,408
26,Pineapple Cider,🥈 Silver,2 Towns Ciderhouse,2 Towns Ciderhouse,Pacific Pineapple,OR,67
27,Pineapple Cider,🥉 Bronze,Glacial Till,Glacial Till Vineyard & Winery,Passion Pineapple,NE,294
28,Cherry Cider,🥇 Gold,Ciderboys Cider Co.,Ciderboys,Cherry Jubilee,WI,196
29,Cherry Cider,🥈 Silver,Apple Barrel Orchards,Apple Barrel Orchards,Tart Cherry,NY,2286
30,Cherry Cider,🥉 Bronze,FX Matt Brewing Co.,FX Matt Brewing,McKenzie’s Black Cherry,NY,408
