ID,Year,Category,Award,Medalist_Original,Entry,Region,Country,Region_Original,WID,Status,Medalist,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd,Latitude,Longitude,Transparency
2,2014,New World Cider,🥇 Gold,2 Towns Ciderhouse,Traditions Ciderworks 2011 Riverwood Brut,Oregon,United States,Oregon,67,Active,2 Towns Ciderhouse,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,44.563505,-123.226185,0
3,2014,New World Cider,🥈 Silver,Boston Beer Company,Angry Orchard Green Apple,New York,United States,Massachusetts,87,Active,Angry Orchard,https://www.angryorchard.com/,https://www.facebook.com/AngryOrchard/,https://www.instagram.com/angryorchard/,https://maps.google.com/?cid=17467507983407382578,https://www.yelp.com/biz/angry-orchard-walden-2,https://www.tripadvisor.com/Attraction_Review-g48788-d10266026,https://untappd.com/w/angry-orchard-cider-company/16455,41.587128,-74.221692,0
4,2014,New World Cider,🥉 Bronze,Sonoma Cider,The Hatchet,California,United States,California,1085,Active,Sonoma Cider,https://www.sonomacider.com/,https://www.facebook.com/SonomaCider,https://www.instagram.com/sonomacider/,https://maps.google.com/?cid=17157123449258669495,https://www.yelp.com/biz/full-circle-brewing-company-fresno,https://www.tripadvisor.com/Restaurant_Review-g32414-d4441140,https://untappd.com/SonomaCider,36.7270581,-119.7906887,0
5,2014,English Cider,🥇 Gold,Boston Beer Company,Angry Orchard Tradtional Cider,New York,United States,Massachusetts,87,Active,Angry Orchard,https://www.angryorchard.com/,https://www.facebook.com/AngryOrchard/,https://www.instagram.com/angryorchard/,https://maps.google.com/?cid=17467507983407382578,https://www.yelp.com/biz/angry-orchard-walden-2,https://www.tripadvisor.com/Attraction_Review-g48788-d10266026,https://untappd.com/w/angry-orchard-cider-company/16455,41.587128,-74.221692,0
6,2014,English Cider,🥈 Silver,Stevens Point Brewing,Ciderboys First Press,Wisconsin,United States,Wisconsin,196,Active,Ciderboys,http://www.ciderboys.com/,https://www.facebook.com/Ciderboys,https://www.instagram.com/Ciderboys/,https://maps.google.com/?cid=1756122992587390562,https://www.yelp.com/biz/stevens-point-brewery-stevens-point,https://www.tripadvisor.com/Attraction_Review-g60304-d2265035,https://untappd.com/w/ciderboys-hard-cider/44552,44.510454,-89.573583,0
7,2014,Specialty,🥇 Gold,Stevens Point Brewing,Ciderboys Peach County,Wisconsin,United States,Wisconsin,196,Active,Ciderboys,http://www.ciderboys.com/,https://www.facebook.com/Ciderboys,https://www.instagram.com/Ciderboys/,https://maps.google.com/?cid=1756122992587390562,https://www.yelp.com/biz/stevens-point-brewery-stevens-point,https://www.tripadvisor.com/Attraction_Review-g60304-d2265035,https://untappd.com/w/ciderboys-hard-cider/44552,44.510454,-89.573583,0
8,2014,Specialty,🥇 Gold,Cigar City Cider and Mead,Cigar City Cider Homemade Apple Pie,Florida,United States,Florida,197,Active,Cigar City Cider & Mead,http://www.cigarcitycider.com/,https://www.facebook.com/CigarCityCider,https://www.instagram.com/cigarcitycider/,https://maps.google.com/?cid=105555702494086229,https://www.yelp.com/biz/cigar-city-brewing-tampa,https://www.tripadvisor.com/Attraction_Review-g34678-d4508513,https://untappd.com/w/cigar-city-cider-and-mead/51632,27.960748,-82.443199,0
9,2014,Specialty,🥈 Silver,9041-5522 Quebec,London Calling,Quebec,Canada,Canada,3177,Active,Groupe Geloso,https://groupegeloso.com/,https://www.facebook.com/groupegeloso/,,https://maps.google.com/?cid=14532853692172548925,,,https://untappd.com/w/cidre-beaupre-groupe-geloso/21487,45.6109278,-73.6737069,0
10,2014,Specialty,🥉 Bronze,Boston Beer Company,Angry Orchard Apple Ginger,New York,United States,Massachusetts,87,Active,Angry Orchard,https://www.angryorchard.com/,https://www.facebook.com/AngryOrchard/,https://www.instagram.com/angryorchard/,https://maps.google.com/?cid=17467507983407382578,https://www.yelp.com/biz/angry-orchard-walden-2,https://www.tripadvisor.com/Attraction_Review-g48788-d10266026,https://untappd.com/w/angry-orchard-cider-company/16455,41.587128,-74.221692,0
11,2015,New World Cider,🥇 Gold,2 Towns Ciderhouse,OutCider,Oregon,United States,Oregon,67,Active,2 Towns Ciderhouse,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,44.563505,-123.226185,0
12,2015,New World Cider,🥈 Silver,Angry Orchard,Angry Orchard Crisp Apple,New York,United States,Massachusetts,87,Active,Angry Orchard,https://www.angryorchard.com/,https://www.facebook.com/AngryOrchard/,https://www.instagram.com/angryorchard/,https://maps.google.com/?cid=17467507983407382578,https://www.yelp.com/biz/angry-orchard-walden-2,https://www.tripadvisor.com/Attraction_Review-g48788-d10266026,https://untappd.com/w/angry-orchard-cider-company/16455,41.587128,-74.221692,0
13,2015,New World Cider,🥉 Bronze,Vermont Hard Cider,Woodchuck Amber,Vermont,United States,Vermont,664,Active,Vermont Cider Company,http://www.woodchuck.com/,https://www.facebook.com/WoodchuckCider,https://www.instagram.com/woodchuckcider/,https://maps.google.com/?cid=9402882086420367798,https://www.yelp.com/biz/woodchuck-hard-cidery-middlebury,https://www.tripadvisor.com/Attraction_Review-g57245-d7022345,https://untappd.com/w/woodchuck-cidery/611,44.034072,-73.172778,0
14,2015,English Cider,🥇 Gold,Thatchers Cider,Thatchers Gold,Somerset,England,United Kingdom,1119,Active,Thatchers Cider,https://www.thatcherscider.co.uk/,https://www.facebook.com/ThatchersCiderCompany,https://www.instagram.com/thatcherscider/,https://maps.google.com/?cid=15191093037076298219,,https://www.tripadvisor.com/Attraction_Review-g4412909-d11019728,https://untappd.com/brewery/3063,51.3328274,-2.8330779,0
15,2015,English Cider,🥈 Silver,Florida Beer Company,Kelly's Traditional Hard Cider,Florida,United States,Florida,2252,Active,Caribé Tropical Hard Cider,https://caribbreweryusa.com/,https://www.facebook.com/people/Carib-Brewery-USA/100071513900968/,,https://maps.google.com/?cid=5794166466253271261,https://www.yelp.com/biz/carib-brewery-usa-cape-canaveral,,https://untappd.com/floridabeer,28.3989852,-80.6114347,0
16,2015,English Cider,🥉 Bronze,Stevens Point Brewing,Ciderboys First Press,Wisconsin,United States,Wisconsin,196,Active,Ciderboys,http://www.ciderboys.com/,https://www.facebook.com/Ciderboys,https://www.instagram.com/Ciderboys/,https://maps.google.com/?cid=1756122992587390562,https://www.yelp.com/biz/stevens-point-brewery-stevens-point,https://www.tripadvisor.com/Attraction_Review-g60304-d2265035,https://untappd.com/w/ciderboys-hard-cider/44552,44.510454,-89.573583,0
17,2015,New England Cider,🥇 Gold,2 Towns Ciderhouse,Bad Apple,Oregon,United States,Oregon,67,Active,2 Towns Ciderhouse,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,44.563505,-123.226185,0
18,2015,New England Cider,🥈 Silver,Angry Orchard,Angry Orchard Green Apple,New York,United States,Massachusetts,87,Active,Angry Orchard,https://www.angryorchard.com/,https://www.facebook.com/AngryOrchard/,https://www.instagram.com/angryorchard/,https://maps.google.com/?cid=17467507983407382578,https://www.yelp.com/biz/angry-orchard-walden-2,https://www.tripadvisor.com/Attraction_Review-g48788-d10266026,https://untappd.com/w/angry-orchard-cider-company/16455,41.587128,-74.221692,0
19,2015,Fruit,🥇 Gold,Cigar City Cider,Rambunctious,Florida,United States,Florida,197,Active,Cigar City Cider & Mead,http://www.cigarcitycider.com/,https://www.facebook.com/CigarCityCider,https://www.instagram.com/cigarcitycider/,https://maps.google.com/?cid=105555702494086229,https://www.yelp.com/biz/cigar-city-brewing-tampa,https://www.tripadvisor.com/Attraction_Review-g34678-d4508513,https://untappd.com/w/cigar-city-cider-and-mead/51632,27.960748,-82.443199,0
20,2015,Fruit,🥈 Silver,California Cider,Ace Pineapple Hard Cider,California,United States,California,179,Active,ACE Cider,http://www.acecider.com/,https://www.facebook.com/AceCider,https://www.instagram.com/acecider/,,https://www.yelp.com/biz/ace-premium-hard-ciders-sebastopol,https://www.tripadvisor.com/Attraction_Review-g33069-d3626497,https://untappd.com/w/ace-cider-the-california-cider-company/331,38.423506,-122.849754,0
21,2015,Fruit,🥉 Bronze,Stevens Point Brewing,Ciderboys Grand Mimosa,Wisconsin,United States,Wisconsin,196,Active,Ciderboys,http://www.ciderboys.com/,https://www.facebook.com/Ciderboys,https://www.instagram.com/Ciderboys/,https://maps.google.com/?cid=1756122992587390562,https://www.yelp.com/biz/stevens-point-brewery-stevens-point,https://www.tripadvisor.com/Attraction_Review-g60304-d2265035,https://untappd.com/w/ciderboys-hard-cider/44552,44.510454,-89.573583,0
