WID,Medalist,Region,Country,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd,Latitude,Longitude,Transparency
196,Ciderboys,Wisconsin,United States,14,9,14,37,2014,2024,11,Active,http://www.ciderboys.com/,https://www.facebook.com/Ciderboys,https://www.instagram.com/Ciderboys/,,https://www.yelp.com/biz/stevens-point-brewery-stevens-point,https://www.tripadvisor.com/Attraction_Review-g60304-d2265035,https://untappd.com/w/ciderboys-hard-cider/44552,44.510454,-89.573583,0
664,Vermont Cider Company,Vermont,United States,13,13,11,37,2015,2024,10,Active,http://www.woodchuck.com/,https://www.facebook.com/WoodchuckCider,https://www.instagram.com/woodchuckcider/,,https://www.yelp.com/biz/woodchuck-hard-cidery-middlebury,https://www.tripadvisor.com/Attraction_Review-g57245-d7022345,https://untappd.com/w/woodchuck-cidery/611,44.034072,-73.172778,0
67,2 Towns Ciderhouse,Oregon,United States,8,12,6,26,2014,2024,8,Active,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,44.563505,-123.226185,0
294,Glacial Till Vineyard & Winery,Nebraska,United States,14,5,6,25,2018,2024,7,Active,http://www.glacialtillvineyard.com/,https://www.facebook.com/glacialtillvineyard,https://www.instagram.com/glacialtillvineyard/,,https://www.yelp.com/biz/glacial-till-tasting-room-ashland,https://www.tripadvisor.com/Attraction_Review-g29709-d5832186,https://untappd.com/w/glacial-till-vineyard-and-winery/223758,41.038896,-96.368951,0
97,Arsenal Cider House,Pennsylvania,United States,8,9,5,22,2018,2024,5,Active,https://www.arsenalciderhouse.com/lawrenceville/,https://www.facebook.com/ArsenalCider,https://www.instagram.com/arsenalcider/,,https://www.yelp.com/biz/arsenal-cider-house-and-wine-cellar-pittsburgh,https://www.tripadvisor.com/Attraction_Review-g53449-d4558019,https://untappd.com/w/arsenal-cider-house/12282,40.465108,-79.96092,0
87,Angry Orchard,New York,United States,4,11,7,22,2014,2022,6,Active,https://www.angryorchard.com/,https://www.facebook.com/AngryOrchard/,https://www.instagram.com/angryorchard/,,https://www.yelp.com/biz/angry-orchard-walden-2,https://www.tripadvisor.com/Attraction_Review-g48788-d10266026,https://untappd.com/w/angry-orchard-cider-company/16455,41.587128,-74.221692,0
179,ACE Cider,California,United States,7,5,4,16,2015,2024,8,Active,http://www.acecider.com/,https://www.facebook.com/AceCider,https://www.instagram.com/acecider/,,https://www.yelp.com/biz/ace-premium-hard-ciders-sebastopol,https://www.tripadvisor.com/Attraction_Review-g33069-d3626497,https://untappd.com/w/ace-cider-the-california-cider-company/331,38.423506,-122.849754,0
10,Blake's Hard Cider Co.,Michigan,United States,5,7,4,16,2019,2024,6,Active,http://www.blakeshardcider.com/,https://www.facebook.com/blakeshardciderco,https://www.instagram.com/blakeshardciderco/,,https://www.yelp.com/biz/blakes-ciderhouse-and-winery-armada,https://www.tripadvisor.com/Attraction_Review-g29560-d6678501,https://untappd.com/w/blakes-hard-cider-company/86334,42.8503113,-82.9513855,0
661,Urban Tree Hard Cider,Georgia,United States,6,4,4,14,2016,2022,6,Active,https://urbantreecidery.com/,https://www.facebook.com/UrbanTreeCider/,https://www.instagram.com/urbantreecider/,,,,https://untappd.com/w/urban-tree-cidery/260157,33.794905,-84.414797,0
790,Heritage Estate Winery & Cidery,Ontario,Canada,8,3,2,13,2017,2020,4,Active,https://heritageestate.ca/,https://www.facebook.com/estateheritage/,https://www.instagram.com/estateheritage/,,,https://www.tripadvisor.com/Attraction_Review-g154980-d11864452,https://untappd.com/w/heritage-estate-winery-cidery/281135,44.421019,-79.643167,0
167,Broski Ciderworks,Florida,United States,7,0,6,13,2017,2022,6,Inactive,,,,,,,,26.222228,-80.142524,1
