WID,Medalist,Region,Country,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
196,Ciderboys,Wisconsin,United States,14,9,14,37,2014,2024,11,Active,"<a href=""http://www.ciderboys.com/"">Website</a>","<a href=""https://www.facebook.com/Ciderboys"">Facebook</a>","<a href=""https://www.instagram.com/Ciderboys/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1756122992587390562"">Google</a>","<a href=""https://www.yelp.com/biz/stevens-point-brewery-stevens-point"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g60304-d2265035"">TripAdvisor</a>","<a href=""https://untappd.com/w/ciderboys-hard-cider/44552"">Untappd</a>"
664,Vermont Cider Company,Vermont,United States,13,13,11,37,2015,2024,10,Active,"<a href=""http://www.woodchuck.com/"">Website</a>","<a href=""https://www.facebook.com/WoodchuckCider"">Facebook</a>","<a href=""https://www.instagram.com/woodchuckcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9402882086420367798"">Google</a>","<a href=""https://www.yelp.com/biz/woodchuck-hard-cidery-middlebury"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g57245-d7022345"">TripAdvisor</a>","<a href=""https://untappd.com/w/woodchuck-cidery/611"">Untappd</a>"
67,2 Towns Ciderhouse,Oregon,United States,8,12,6,26,2014,2024,8,Active,"<a href=""http://www.2townsciderhouse.com/"">Website</a>","<a href=""https://www.facebook.com/2townsciderhouse"">Facebook</a>","<a href=""https://www.instagram.com/2townscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10429935694700508047"">Google</a>","<a href=""https://www.yelp.com/biz/2-towns-ciderhouse-corvallis"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g51817-d3417221"">TripAdvisor</a>","<a href=""https://untappd.com/w/2-towns-ciderhouse/12975"">Untappd</a>"
294,Glacial Till Vineyard & Winery,Nebraska,United States,14,5,6,25,2018,2024,7,Active,"<a href=""http://www.glacialtillvineyard.com/"">Website</a>","<a href=""https://www.facebook.com/glacialtillvineyard"">Facebook</a>","<a href=""https://www.instagram.com/glacialtillvineyard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=185099829414435279"">Google</a>","<a href=""https://www.yelp.com/biz/glacial-till-tasting-room-ashland"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g29709-d5832186"">TripAdvisor</a>","<a href=""https://untappd.com/w/glacial-till-vineyard-and-winery/223758"">Untappd</a>"
97,Arsenal Cider House,Pennsylvania,United States,8,9,5,22,2018,2024,5,Active,"<a href=""https://www.arsenalciderhouse.com/lawrenceville/"">Website</a>","<a href=""https://www.facebook.com/ArsenalCider"">Facebook</a>","<a href=""https://www.instagram.com/arsenalcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3302243150360255083"">Google</a>","<a href=""https://www.yelp.com/biz/arsenal-cider-house-and-wine-cellar-pittsburgh"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g53449-d4558019"">TripAdvisor</a>","<a href=""https://untappd.com/w/arsenal-cider-house/12282"">Untappd</a>"
87,Angry Orchard,New York,United States,4,11,7,22,2014,2022,6,Active,"<a href=""https://www.angryorchard.com/"">Website</a>","<a href=""https://www.facebook.com/AngryOrchard/"">Facebook</a>","<a href=""https://www.instagram.com/angryorchard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17467507983407382578"">Google</a>","<a href=""https://www.yelp.com/biz/angry-orchard-walden-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48788-d10266026"">TripAdvisor</a>","<a href=""https://untappd.com/w/angry-orchard-cider-company/16455"">Untappd</a>"
179,ACE Cider,California,United States,7,5,4,16,2015,2024,8,Active,"<a href=""http://www.acecider.com/"">Website</a>","<a href=""https://www.facebook.com/AceCider"">Facebook</a>","<a href=""https://www.instagram.com/acecider/"">Instagram</a>",,"<a href=""https://www.yelp.com/biz/ace-premium-hard-ciders-sebastopol"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g33069-d3626497"">TripAdvisor</a>","<a href=""https://untappd.com/w/ace-cider-the-california-cider-company/331"">Untappd</a>"
10,Blake's Hard Cider Co.,Michigan,United States,5,7,4,16,2019,2024,6,Active,"<a href=""http://www.blakeshardcider.com/"">Website</a>","<a href=""https://www.facebook.com/blakeshardciderco"">Facebook</a>","<a href=""https://www.instagram.com/blakeshardciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15855146673119620480"">Google</a>","<a href=""https://www.yelp.com/biz/blakes-ciderhouse-and-winery-armada"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g29560-d6678501"">TripAdvisor</a>","<a href=""https://untappd.com/w/blakes-hard-cider-company/86334"">Untappd</a>"
661,Urban Tree Hard Cider,Georgia,United States,6,4,4,14,2016,2022,6,Active,"<a href=""https://urbantreecidery.com/"">Website</a>","<a href=""https://www.facebook.com/UrbanTreeCider/"">Facebook</a>","<a href=""https://www.instagram.com/urbantreecider/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/urban-tree-cidery/260157"">Untappd</a>"
790,Heritage Estate Winery & Cidery,Ontario,Canada,8,3,2,13,2017,2020,4,Active,"<a href=""https://heritageestate.ca/"">Website</a>","<a href=""https://www.facebook.com/estateheritage/"">Facebook</a>","<a href=""https://www.instagram.com/estateheritage/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9239224592277777662"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g154980-d11864452"">TripAdvisor</a>","<a href=""https://untappd.com/w/heritage-estate-winery-cidery/281135"">Untappd</a>"
