Region,🥇 Gold,🥈 Silver,🥉 Bronze,Total
Ontario,22,14,10,46
Wisconsin,12,11,17,40
Washington,13,12,14,39
New York,11,17,11,39
Virginia,10,12,15,37
Oregon,13,14,9,36
California,12,10,14,36
Michigan,9,16,11,36
Vermont,12,11,12,35
Florida,12,7,12,31
Nebraska,15,11,4,30
Pennsylvania,9,7,13,29
Minnesota,10,3,10,23
Ohio,7,6,9,22
Georgia,7,8,4,19
North Carolina,3,3,5,11
Quebec,4,5,1,10
Colorado,2,2,5,9
Massachusetts,4,3,1,8
North Yorkshire,3,3,2,8
Arkansas,3,3,1,7
Kentucky,2,4,1,7
Galicia,2,2,3,7
Navarre,2,1,3,6
Arizona,3,1,1,5
Tennessee,1,1,3,5
Normandy,3,1,0,4
Brittany,0,3,1,4
Herefordshire,1,1,1,3
Idaho,1,0,2,3
Texas,1,0,2,3
Hawaii,0,3,0,3
Utah,0,2,1,3
Örebro,1,1,0,2
Illinois,0,1,1,2
New Mexico,0,1,1,2
Tipperary,0,1,1,2
Delaware,0,0,2,2
New Hampshire,0,0,2,2
Somerset,1,0,0,1
Suffolk,1,0,0,1
Capital Region,0,1,0,1
Iowa,0,1,0,1
Maryland,0,1,0,1
New Jersey,0,1,0,1
Kalmar,0,0,1,1
Maine,0,0,1,1
Total,212,205,207,624
