Medalist,Region,Country,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
Arsenal Cider House,Pennsylvania,United States,2,3,2,7,"<a href=""https://www.arsenalciderhouse.com/lawrenceville/"">Website</a>","<a href=""https://www.facebook.com/ArsenalCider"">Facebook</a>","<a href=""https://www.instagram.com/arsenalcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3302243150360255083"">Google</a>","<a href=""https://www.yelp.com/biz/arsenal-cider-house-and-wine-cellar-pittsburgh"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g53449-d4558019"">TripAdvisor</a>","<a href=""https://untappd.com/w/arsenal-cider-house/12282"">Untappd</a>"
2 Towns Ciderhouse,Oregon,United States,1,3,2,6,"<a href=""http://www.2townsciderhouse.com/"">Website</a>","<a href=""https://www.facebook.com/2townsciderhouse"">Facebook</a>","<a href=""https://www.instagram.com/2townscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10429935694700508047"">Google</a>","<a href=""https://www.yelp.com/biz/2-towns-ciderhouse-corvallis"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g51817-d3417221"">TripAdvisor</a>","<a href=""https://untappd.com/w/2-towns-ciderhouse/12975"">Untappd</a>"
Glacial Till Vineyard & Winery,Nebraska,United States,3,1,2,6,"<a href=""http://www.glacialtillvineyard.com/"">Website</a>","<a href=""https://www.facebook.com/glacialtillvineyard"">Facebook</a>","<a href=""https://www.instagram.com/glacialtillvineyard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=185099829414435279"">Google</a>","<a href=""https://www.yelp.com/biz/glacial-till-tasting-room-ashland"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g29709-d5832186"">TripAdvisor</a>","<a href=""https://untappd.com/w/glacial-till-vineyard-and-winery/223758"">Untappd</a>"
Blake's Hard Cider Co.,Michigan,United States,1,3,1,5,"<a href=""http://www.blakeshardcider.com/"">Website</a>","<a href=""https://www.facebook.com/blakeshardciderco"">Facebook</a>","<a href=""https://www.instagram.com/blakeshardciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15855146673119620480"">Google</a>","<a href=""https://www.yelp.com/biz/blakes-ciderhouse-and-winery-armada"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g29560-d6678501"">TripAdvisor</a>","<a href=""https://untappd.com/w/blakes-hard-cider-company/86334"">Untappd</a>"
Thornbury Craft Co.,Ontario,Canada,4,---,1,5,"<a href=""https://thornburycraft.com/"">Website</a>","<a href=""https://www.facebook.com/thornburycraft"">Facebook</a>","<a href=""https://www.instagram.com/thornburycraft/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17950053116977107226"">Google</a>","<a href=""https://www.yelp.com/biz/thornbury-village-cider-house-the-blue-mountains"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g676258-d12453165"">TripAdvisor</a>","<a href=""https://untappd.com/w/thornbury-village-cidery-and-brewery/10936"">Untappd</a>"
Wölffer Estate Vineyard,New York,United States,---,2,2,4,"<a href=""http://www.wolffer.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=10690409208604454007"">Google</a>","<a href=""https://www.yelp.com/biz/wolffer-estate-vineyard-sagaponack"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48542-d593572"">TripAdvisor</a>","<a href=""https://untappd.com/w/wolffer-estate-vineyard/79243"">Untappd</a>"
FX Matt Brewing,New York,United States,1,---,3,4,"<a href=""https://www.mckbev.com/"">Website</a>","<a href=""https://www.facebook.com/McKenziesHardCider/"">Facebook</a>","<a href=""https://www.instagram.com/mckenzieshardcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16812627050434550372"">Google</a>","<a href=""https://www.yelp.com/biz/f-x-matt-brewing-utica"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48759-d534580"">TripAdvisor</a>","<a href=""https://untappd.com/w/mckenzies-hard-cider/10931"">Untappd</a>"
Vala's Orchard Cider,Nebraska,United States,1,1,2,4,"<a href=""https://www.valasappleorchard.com/"">Website</a>","<a href=""https://www.facebook.com/ValasPumpkinPatch/"">Facebook</a>","<a href=""https://www.instagram.com/valaspumpkinpatch/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15056510891597103165"">Google</a>","<a href=""https://www.yelp.com/biz/valas-pumpkin-patch-gretna"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g45597-d1932171"">TripAdvisor</a>","<a href=""https://untappd.com/w/vala-s-pumpkin-patch/478866"">Untappd</a>"
Sapsucker Farms Yellow Belly Cidery,Minnesota,United States,2,2,---,4,"<a href=""https://www.sapsuckerfarms.com/"">Website</a>","<a href=""https://www.facebook.com/YellowBellyCider/"">Facebook</a>","<a href=""https://www.instagram.com/sapsuckerfarms/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10529182272851607589"">Google</a>","<a href=""https://www.yelp.com/biz/sapsucker-farms-yellow-belly-cidery-mora"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g43337-d15594799"">TripAdvisor</a>","<a href=""https://untappd.com/w/sapsucker-farms/187535"">Untappd</a>"
Vermont Cider Company,Vermont,United States,2,2,---,4,"<a href=""http://www.woodchuck.com/"">Website</a>","<a href=""https://www.facebook.com/WoodchuckCider"">Facebook</a>","<a href=""https://www.instagram.com/woodchuckcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9402882086420367798"">Google</a>","<a href=""https://www.yelp.com/biz/woodchuck-hard-cidery-middlebury"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g57245-d7022345"">TripAdvisor</a>","<a href=""https://untappd.com/w/woodchuck-cidery/611"">Untappd</a>"
Austin Eastciders,Texas,United States,1,1,1,3,"<a href=""http://austineastciders.com/"">Website</a>","<a href=""https://www.facebook.com/eastciders/"">Facebook</a>","<a href=""https://www.instagram.com/eastciders/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14699519440178528476"">Google</a>","<a href=""https://www.yelp.com/biz/austin-eastciders-collaboratory-austin"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g30196-d8561332"">TripAdvisor</a>","<a href=""https://untappd.com/w/austin-eastciders/18898"">Untappd</a>"
Five Maidens Cider Company,Pennsylvania,United States,1,1,1,3,"<a href=""https://5mcider.com/"">Website</a>","<a href=""https://www.facebook.com/5MCider/"">Facebook</a>","<a href=""https://www.instagram.com/5mcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17669165397330541520"">Google</a>","<a href=""https://www.yelp.com/biz/five-maidens-cider-bethlehem"">Yelp</a>",,"<a href=""https://untappd.com/FiveMaidensCiderCo"">Untappd</a>"
Ciderboys,Wisconsin,United States,2,---,1,3,"<a href=""http://www.ciderboys.com/"">Website</a>","<a href=""https://www.facebook.com/Ciderboys"">Facebook</a>","<a href=""https://www.instagram.com/Ciderboys/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1756122992587390562"">Google</a>","<a href=""https://www.yelp.com/biz/stevens-point-brewery-stevens-point"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g60304-d2265035"">TripAdvisor</a>","<a href=""https://untappd.com/w/ciderboys-hard-cider/44552"">Untappd</a>"
Cider Corps,Arizona,United States,2,1,---,3,"<a href=""https://cidercorpsaz.com/"">Website</a>","<a href=""https://www.facebook.com/cidercorps/"">Facebook</a>","<a href=""https://www.instagram.com/cidercorps/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9593182908980696987"">Google</a>","<a href=""https://www.yelp.com/biz/cider-corps-mesa-5"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g31281-d13003044"">TripAdvisor</a>","<a href=""https://untappd.com/CiderCorps"">Untappd</a>"
Wise Man Brewing,North Carolina,United States,---,---,2,2,"<a href=""https://www.wisemanbrewing.com/"">Website</a>","<a href=""https://www.facebook.com/wisemanbrewing/"">Facebook</a>","<a href=""https://www.instagram.com/wisemanbeer/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13467140978540966884"">Google</a>","<a href=""https://www.yelp.com/biz/wise-man-brewing-winston-salem-3"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g49680-d12221328"">TripAdvisor</a>","<a href=""https://untappd.com/WiseManBrewing"">Untappd</a>"
Apple Barrel Orchards,New York,United States,---,1,1,2,"<a href=""https://applebarrelorchards.com/"">Website</a>","<a href=""https://www.facebook.com/applebarrelorchards"">Facebook</a>","<a href=""https://www.instagram.com/applebarrelorchards"">Instagram</a>","<a href=""https://maps.google.com/?cid=6734152269443403352"">Google</a>","<a href=""https://www.yelp.com/biz/apple-barrel-orchards-penn-yan"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48378-d7187340"">TripAdvisor</a>","<a href=""https://untappd.com/w/apple-barrel-orchards/549035"">Untappd</a>"
Armageddon Brewing,New Jersey,United States,---,2,---,2,"<a href=""https://www.armageddon-brewing.com/"">Website</a>","<a href=""https://www.facebook.com/armageddonbrewing"">Facebook</a>","<a href=""https://www.instagram.com/armageddonbrewing/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14423006988471622028"">Google</a>","<a href=""https://www.yelp.com/biz/armageddon-brewing-somerdale"">Yelp</a>",,"<a href=""https://untappd.com/ArmageddonBrewing"">Untappd</a>"
Doc Waters Cidery,Maryland,United States,1,---,1,2,"<a href=""https://www.docwaterscidery.com/"">Website</a>","<a href=""https://www.facebook.com/docwaterscidery"">Facebook</a>","<a href=""https://www.instagram.com/docwaterscidery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5897969821393799631"">Google</a>","<a href=""https://www.yelp.com/biz/doc-waters-cidery-germantown-3"">Yelp</a>",,"<a href=""https://untappd.com/w/doc-waters-cidery/408791"">Untappd</a>"
Apple Valley Cider Company,Colorado,United States,1,1,---,2,"<a href=""http://www.applevalleycider.com/"">Website</a>","<a href=""https://www.facebook.com/applevalleycider/"">Facebook</a>","<a href=""https://www.instagram.com/applevalleyciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8798456079688966999"">Google</a>",,,"<a href=""https://untappd.com/w/apple-valley-cider-company/382129"">Untappd</a>"
Trump Cidery,Virginia,United States,1,1,---,2,"<a href=""https://www.trumpwinery.com/cidery/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=61556781914582"">Facebook</a>","<a href=""https://www.instagram.com/trumpcidery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5076746479216071156"">Google</a>","<a href=""https://www.yelp.com/biz/trump-cidery-no-title"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g57592-d27958022"">TripAdvisor</a>","<a href=""https://untappd.com/w/trump-cidery/560673"">Untappd</a>"
