ID,WID,Year,Style,Award,Medalist,Entry,Region,Style Group
,,2025,High Tannin – Dry,Platinum,Snow Capped Cider,Kingston Black,CO,
,,2025,High Tannin – Dry,Double Gold,Fenceline Cider,2023 Kingston Black,CO,
,,2025,High Tannin – Dry,Gold,Snow Capped Cider,Yarlington Mill,CO,
,,2025,High Tannin – Dry,Silver,Snow Capped Cider,Wilde Woods,CO,
,,2025,High Tannin – Dry,Judges' Pick,Bauman’s Cider,Flummerynacht Cider,OR,
,,2025,High Tannin – Dry,Judges' Pick,Snow Capped Cider,FAB FIVE,CO,
,,2025,High Tannin – Dry,Judges' Pick,White Crow Cider Company,Somerset Dabinett,KS,
,,2025,High Tannin – Sweet,Platinum,Kristof Farms,Brut Cider,OR,
,,2025,High Tannin – Sweet,Double Gold,Snow Capped Cider,Chisel Jersey,CO,
,,2025,High Tannin – Sweet,Gold,Snow Capped Cider,Gold Rush,CO,
,,2025,High Tannin – Sweet,Silver,1911 Established,Lafayette,NY,
,,2025,High Tannin – Sweet,Judges' Pick,Alpenfire Cider,Keeve,WA,
,,2025,High Tannin – Sweet,Judges' Pick,Bull Run Cider,White Barn Estate Cuvée 2023,OR,
,,2025,High Tannin – Sweet,Judges' Pick,Snow Capped Cider,Ellis Bitter,CO,
,,2025,Single Varietal,Platinum,Snow Capped Cider,Gravenstein,CO,
,,2025,Single Varietal,Double Gold,Snow Capped Cider,Esopus Spitzenburg,CO,
,,2025,Single Varietal,Gold,Bull Run Cider,McIntosh,OR,
,,2025,Single Varietal,Silver,Snow Capped Cider,Harrison,CO,
,,2025,Single Varietal,Judges' Pick,Fenceline Cider,2023 Wickson Crabapple,CO,
,,2025,Single Varietal,Judges' Pick,Retreat 21 Cider Co.,Harrison,OH,
,,2025,Single Varietal,Judges' Pick,Snow Capped Cider,Frenouillet Gris,CO,
,,2025,Perry,Platinum,Ciderboys Cider Co.,Pear Naked,WI,
,,2025,Perry,Double Gold,Snow Capped Cider,Winter Pear,CO,
,,2025,Perry,Gold,Snow Capped Cider,Sparkling Perry,CO,
,,2025,Perry,Silver,Island Orchard Cider,Pear Reserve,WI,
,,2025,Natural,Platinum,Mast Year Cider Collective,Creekside Cuvée,WA,
,,2025,Natural,Double Gold,Sheltered Valley Cider,Tree Ripe Jonathan,PA,
,,2025,Natural,Gold,Fenceline Cider,Thunderbolt,CO,
,,2025,Natural,Silver,Seven Seeds Seidr,Gwrach Scrumpy,OR,
,,2025,Pét Nat,Platinum,Mount Diablo Cider Company,Native Sun,CA,
,,2025,Pét Nat,Double Gold,James Creek Cider House,Etude No 5 – Golden Russet & Ashmead’s Kernel,NC,
,,2025,Pét Nat,Gold,Seven Seeds Seidr,Llyn Fwar,OR,
,,2025,Pét Nat,Silver,Brooklyn Cider House,Three of Life,NY,
,,2025,Rosé,Platinum,Bauman’s Cider,Mountain Rose SV,OR,
,,2025,Rosé,Double Gold,Snow Capped Cider,Bespoke,CO,
,,2025,Rosé,Gold,Alpenfire Cider,Glow,WA,
,,2025,Rosé,Silver,Union Hill Cider Co.,Cosmic Rosé,WA,
,,2025,Modern-Dry,Platinum,Snow Capped Cider,Bluebird Day,CO,
,,2025,Modern-Dry,Double Gold,Endless Orchard Cider,Infinite Granny Smith,WA,
,,2025,Modern-Dry,Gold,Bauman’s Cider,Light Cider,OR,
,,2025,Modern-Dry,Silver,Snow Capped Cider,Novel,CO,
,,2025,Modern-Dry,Judges' Pick,Tieton Cider Works,Dry Apple,WA,
,,2025,Modern-Dry,Judges' Pick,Woodchuck Cider,Pearsecco,VT,
,,2025,Modern-Dry,Judges' Pick,Yonder Cider,Crescent,WA,
,,2025,Modern – Sweet,Platinum,Snow Capped Cider,Gravenstein,CO,
,,2025,Modern – Sweet,Double Gold,Snow Capped Cider,Golden Russet,CO,
,,2025,Modern – Sweet,Gold,Snow Capped Cider,The Russets,CO,
,,2025,Modern – Sweet,Silver,Snow Capped Cider,Winesap,CO,
,,2025,Modern – Sweet,Judges' Pick,Seattle Cider Co.,Honeycrisp,WA,
,,2025,Modern – Sweet,Judges' Pick,Snow Capped Cider,Akane,CO,
,,2025,Modern – Sweet,Judges' Pick,Snow Capped Cider,Esopus Spitzenburg,CO,
,,2025,Fruit,Platinum,Schilling Cider,Grapefruit and Chill,WA,
,,2025,Fruit,Double Gold,Endless Orchard Cider,Eternal Sunshine Pineapple-Mango,WA,
,,2025,Fruit,Gold,Snow Capped Cider,Sparkling Rosé,CO,
,,2025,Fruit,Silver,Glacial Till Craft Cider,Strawberry Rhubarb,NE,
,,2025,Fruit,Judges' Pick,1911 Established,Honey Pear,NY,
,,2025,Fruit,Judges' Pick,Starcut Ciders,Toucana,MI,
,,2025,Fruit,Judges' Pick,Woodchuck Cider,Slice of Sun,VT,
,,2025,Berry,Platinum,Mill Haus Cider Co,Huckleberry,WA,
,,2025,Berry,Double Gold,Woodchuck Cider,Blueberry,VT,
,,2025,Berry,Gold,Martinelli’s 1868 Hard Cider,Berry Blush,CA,
,,2025,Berry,Silver,Glacial Till Craft Cider,Blueberry,NE,
,,2025,Berry,Judges' Pick,1911 Established,Cranberry,NY,
,,2025,Berry,Judges' Pick,Portland Cider Co.,Pacific Berry,OR,
,,2025,Berry,Judges' Pick,Yankee Cider Company,Blackberry,CT,
,,2025,Stone Fruit,Platinum,Schilling Cider,Excelsior Imperial Mango,WA,
,,2025,Stone Fruit,Double Gold,Mill Haus Cider Co.,Apricot Peach,WA,
,,2025,Stone Fruit,Gold,Snow Capped Cider,Sour Cherry,CO,
,,2025,Stone Fruit,Silver,Sylboro Ciderhouse,Montmorency Cherry,NY,
,,2025,Stone Fruit,Judges' Pick,Incline Cider Company,White Peach,WA,
,,2025,Stone Fruit,Judges' Pick,Retreat 21 Cider Co.,Cherry Research,OH,
,,2025,Stone Fruit,Judges' Pick,Seattle Cider Co.,VIVID Fresh Peach,WA,
,,2025,Tropical,Platinum,Portland Cider Company,Passion Orange Guava,OR,
,,2025,Tropical,Double Gold,Snowbird Farm & Cidery,Donkey Donk,WA,
,,2025,Tropical,Gold,2 Towns Ciderhouse,Pacific Pineapple,OR,
,,2025,Tropical,Silver,Woodchuck Cider,Pineapple Mimosa,VT,
,,2025,Tropical,Judges' Pick,Glacial Till Craft Cider,Passion Pineapple,NE,
,,2025,Tropical,Judges' Pick,Martinelli’s 1868 Hard Cider,Mango,CA,
,,2025,Tropical,Judges' Pick,North Canyon Cider Co.,Pineapple Ginger,CA,
,,2025,Imperial Cider (Apple Only),Platinum,Schilling Cider,Excelsior Imperial Apple,WA,
,,2025,Imperial Cider (Apple Only),Double Gold,2 Towns Ciderhouse,Original Cosmic Crisp,OR,
,,2025,Imperial Cider (Apple Only),Gold,Seattle Cider Co.,Odyssey,WA,
,,2025,Imperial Cider (Apple Only),Silver,Sheltered Valley Cider,Chestnut Crabapple,PA,
,,2025,Imperial Cider (Apple Only),Judges' Pick,Alpenfire Cider,Golden Russet,WA,
,,2025,Imperial Cider (Apple Only),Judges' Pick,Incline Cider Company,Imperial Hazy Honeycrisp,WA,
,,2025,Imperial Cider (Apple Only),Judges' Pick,James Creek Cider House,Stargazer – Southern Scrumpy,NC,
,,2025,Imperial Cider – (WITH Adjuncts),Platinum,Incline Cider Company,Imperial Raspberry,WA,
,,2025,Imperial Cider – (WITH Adjuncts),Double Gold,Seattle Cider Company,Guava Citrus,WA,
,,2025,Imperial Cider – (WITH Adjuncts),Gold,Ciderboys Cider Co.,Imperial Peach,WI,
,,2025,Imperial Cider – (WITH Adjuncts),Silver,2 Towns Ciderhouse,The Bad Apple,OR,
,,2025,Imperial Cider – (WITH Adjuncts),Judges' Pick,2 Towns Ciderhous,Raspberry Cosmic Crisp,OR,
,,2025,Imperial Cider – (WITH Adjuncts),Judges' Pick,Ciderboys Cider Co.,Imperial Strawberry,WI,
,,2025,Imperial Cider – (WITH Adjuncts),Judges' Pick,Tieton Cider Works,Imperial Raspberry,WA,
,,2025,Co-Ferments: Fruit / Stone Fruit,Platinum,Snow Capped Cider,White Wine Perry,CO,
,,2025,Co-Ferments: Fruit / Stone Fruit,Double Gold,Snow Capped Cider,Porters & Perry,CO,
,,2025,Co-Ferments: Fruit / Stone Fruit,Gold,Kristof Farms Cider,Kristof Noir,OR,
,,2025,Co-Ferments: Fruit / Stone Fruit,Silver,Ciderboys Cider Co.,Peach County,WI,
,,2025,Hopped,Platinum,Snowbird Farm & Cidery,Hoppy Opus,WA,
,,2025,Hopped,Double Gold,1911 Established,NEIPC Hopped,NY,
,,2025,Hopped,Gold,Armageddon Brewing,Exile Hopped,NJ,
,,2025,Hopped,Gold,Champlain Orchards,Citra,VT,
,,2025,Hopped,Silver,Incline Cider Company,Fuji’s Gold,WA,
,,2025,Botanical,Platinum,Yankee Cider Company,Hibiscus Ginger,CT,
,,2025,Botanical,Double Gold,Seattle Cider Co.,Basil Mint,WA,
,,2025,Botanical,Gold,Champlain Orchards,Tuscan Blue,VT,
,,2025,Botanical,Silver,Glacial Till Craft Cider,Spruce Springsteen,NE,
,,2025,Botanical,Silver,Snow Capped Cider,Plum & Lemongrass,CO,
,,2025,Botanical,Judges' Pick,Endless Orchard Cider,Boundless Blueberry Basil,WA,
,,2025,Botanical,Judges' Pick,Finnriver Farm & Cidery,Honey Meadow,WA,
,,2025,Botanical,Judges' Pick,White Crow Cider Company,Liv Lav Lem,KS,
,,2025,Spiced,Platinum,Armageddon Brewing,Cataclysm,NJ,
,,2025,Spiced,Double Gold,Champlain Orchards,Ginger Pear,VT,
,,2025,Spiced,Gold,Tieton Cider Works,Chili Lime,WA,
,,2025,Spiced,Silver,White Crow Cider Company,Chai Opener,KS,
,,2025,Cocktail Inspired,Platinum,Cider Corps,Bunkerita,AZ,
,,2025,Cocktail Inspired,Double Gold,Woodchuck Cider,Bellini,VT,
,,2025,Cocktail Inspired,Double Gold,Cider Corps,Purple Heart,AZ,
,,2025,Cocktail Inspired,Gold,Yonder Cider,Mazama,WA,
,,2025,Cocktail Inspired,Silver,Yonder Cider,Thunderpussy,WA,
,,2025,Specialty,Platinum,Yankee Cider Company,Beet,CT,
,,2025,Specialty,Double Gold,Cider Corps,Mango Foxtrot,AZ,
,,2025,Specialty,Gold,Yankee Cider Company,Blueberry Rhubarb Ginger,CT,
