ID,Year,Category,Medalist,Region,Medal,WID,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude
,2025,Cidre de Normandie IGP brut,Bayeux,Normandy,🥉 Bronze,,,,,,,,,,
,2025,Cidre de Normandie IGP brut,Michel Breavoine,Normandy,🥇 Or,,,,,,,,,,
,2025,Cidre fermier demi-sec,Les Bruyere Carré,Normandy,🥇 Or,,,,,,,,,,
,2025,Cidre de Bretagne IGP brut,Le Cellier De Boal,Brittany,🥇 Or,,,,,,,,,,
,2025,Cidre de Bretagne IGP demi-sec,Le Cellier De Boal,Brittany,🥈 Argent,,,,,,,,,,
,2025,Cidre de Bretagne IGP brut,Valderance,Brittany,🥉 Bronze,1999,,,,,,,,,
,2025,Poiré doux,Dujardin / Cidrerie Dujardin,Brittany,🥇 Or,,,,,,,,,,
,2025,Cidre de Bretagne IGP brut,Valderance cru breton,Brittany,🥉 Bronze,,,,,,,,,,
,2025,Cidre artisanal ou de marque brut,Envies de,Brittany,🥇 Or,,,,,,,,,,
,2025,Cidre de Bretagne IGP doux,Bolée bretonne,Brittany,🥉 Bronze,,,,,,,,,,
,2025,Cidre fermier brut,Le Verger de Kernivinen,Brittany,🥈 Argent,2933,,,,,,,,,
,2025,Poiré doux,kermorgann,Brittany,🥇 Or,2886,,,,,,,,,
,2025,Poiré brut,Kermorgann,Brittany,🥈 Argent,2886,,,,,,,,,
,2025,Cidre fermier demi-sec,Cidre fruité de la Ferme des Noës,Normandy,🥉 Bronze,,,,,,,,,,
,2025,Cidre fermier brut,Cidre fermier brut Cuvée Chardonneret,Normandy,🥉 Bronze,,,,,,,,,,
,2025,Cidre de Normandie IGP demi-sec,Le Pressoir d'Or,Normandy,🥉 Bronze,2689,,,,,,,,,
,2025,Cidre fermier demi-sec,Le Pressoir d'Or,Normandy,🥈 Argent,2689,,,,,,,,,
,2025,Cidre fermier brut,DOMAINE DES HAUTS VENTS,Normandy,🥈 Argent,2889,,,,,,,,,
,2025,Cidre fermier doux,DOMAINE DES HAUTS VENTS,Normandy,🥈 Argent,2889,,,,,,,,,
,2025,Cidre de Normandie IGP doux,DOMAINE DES HAUTS VENTS,Normandy,🥉 Bronze,2889,,,,,,,,,
,2025,Cidre fermier brut,Cidre La Charterie,Normandy,🥉 Bronze,,,,,,,,,,
,2025,Cidre fermier demi-sec,Cidre La Charterie,Normandy,🥈 Argent,,,,,,,,,,
,2025,Cidre de Bretagne IGP doux,Les Trois Frères,Brittany,🥇 Or,,,,,,,,,,
,2025,Cidre Cornouaille AOP,Kermao,Brittany,🥇 Or,,,,,,,,,,
,2025,Cidre de Bretagne IGP demi-sec,Kerné,Brittany,🥈 Argent,,,,,,,,,,
,2025,Cidre de Bretagne IGP doux,Kerné,Brittany,🥉 Bronze,,,,,,,,,,
,2025,Cidre de Bretagne IGP demi-sec,Cidrerie Paul COÏC,Brittany,🥇 Or,1588,,,,,,,,,
,2025,Cidre artisanal ou de marque brut,Dan Armor,Brittany,🥉 Bronze,,,,,,,,,,
,2025,Cidre artisanal ou de marque brut,Cuvée réservée,Brittany,🥈 Argent,,,,,,,,,,
,2025,Cidre de Bretagne IGP doux,Cœur de Breizh,Brittany,🥈 Argent,,,,,,,,,,
,2025,Cidre artisanal ou de marque doux,Cuvée réservée,Brittany,🥈 Argent,,,,,,,,,,
,2025,Cidre fermier brut,Cidrerie de Rozavern,Brittany,🥇 Or,1591,,,,,,,,,
,2025,Cidre fermier demi-sec,Cidrerie de Rozavern,Brittany,🥈 Argent,1591,,,,,,,,,
,2025,Cidre artisanal ou de marque doux,Cidre sorre,Brittany,🥈 Argent,1371,,,,,,,,,
,2025,Cidre de Bretagne IGP doux,Cidre sorre,Brittany,🥉 Bronze,1371,,,,,,,,,
,2025,Cidre de Bretagne IGP brut,Loïc Raison,Brittany,🥉 Bronze,1369,,,,,,,,,
,2025,Cidre fermier doux,CIDRE FERMIER DU PAYS DE BROCELIANDE DOUX,Brittany,🥈 Argent,,,,,,,,,,
,2025,Cidre de Bretagne IGP doux,La Vallée du Mel,Brittany,🥈 Argent,,,,,,,,,,
,2025,Cidre de Bretagne IGP brut,Kerisac,Pays de la Loire,🥈 Argent,,,,,,,,,,
,2025,Cidre fermier doux,Ferme Saint Charles,Pays de la Loire,🥈 Argent,2883,,,,,,,,,
,2025,Cidre artisanal ou de marque brut,LA BRIQUE,Normandy,🥇 Or,,,,,,,,,,
,2025,Cidre fermier brut,ferme du pressoir,Pays de la Loire,🥇 Or,1372,,,,,,,,,
,2025,Cidre fermier demi-sec,FERME DU THEIL,Pays de la Loire,🥇 Or,2879,,,,,,,,,
,2025,Cidre fermier doux,FERME DU THEIL,Pays de la Loire,🥇 Or,2879,,,,,,,,,
,2025,Cidre de Bretagne IGP brut,CIDRE DE RHUYS,Brittany,🥇 Or,1612,,,,,,,,,
,2025,Cidre artisanal ou de marque brut,CIDRE BRETON,Brittany,🥈 Argent,,,,,,,,,,
,2025,Cidre artisanal ou de marque doux,CIDRE BRETON,Brittany,🥈 Argent,,,,,,,,,,
,2025,Cidre artisanal ou de marque doux,LA RUAUDAIE,Brittany,🥇 Or,,,,,,,,,,
,2025,Cidre fermier brut,SAINT-ARMEL,Brittany,🥈 Argent,,,,,,,,,,
,2025,Cidre artisanal ou de marque brut,Cidre Mauret,Hauts-de-France,🥈 Argent,3340,,,,,,,,,
,2025,Cidre artisanal ou de marque demi-sec,Cidre Mauret,Hauts-de-France,🥈 Argent,3340,,,,,,,,,
,2025,Cidre fermier brut,domaine la galotière,Normandy,🥇 Or,,,,,,,,,,
,2025,Cidre de Normandie IGP brut,Fournier,Normandy,🥈 Argent,,,,,,,,,,
,2025,Cidre artisanal ou de marque demi-sec,Fournier,Normandy,🥉 Bronze,,,,,,,,,,
,2025,Poiré doux,Fournier,Normandy,🥇 Or,,,,,,,,,,
,2025,Cidre artisanal ou de marque demi-sec,Ecusson,Normandy,🥈 Argent,3182,,,,,,,,,
