ID,Year,Category,Producer,Producer_Original,Department,Medal,WID,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
,2025,CIDRE AOP CORNOUAILLE,Les Vergers de Kermao,,29,OR,,,,,,,,
,2025,CIDRE DE PAYS EXTRA BRUT,Cidrerie de Rozavern,,29,OR,,,,,,,,
,2025,CIDRE DE PAYS EXTRA BRUT,Cidrerie de l’Apothicaire,,29,OR,,,,,,,,
,2025,CIDRE DE PAYS EXTRA BRUT,Chapron Cidres Sorre,,35,OR,,,,,,,,
,2025,CIDRE DE PAYS EXTRA BRUT,Cidrerie du Pays de Plouay,,56,ARGENT,,,,,,,,
,2025,CIDRE DE PAYS BRUT,Cidrerie La Malvoisine,,56,OR,,,,,,,,
,2025,CIDRE DE PAYS BRUT,Cidrerie de Rozavern,,29,OR,,,,,,,,
,2025,CIDRE DE PAYS BRUT,Terres de la Maison Neuve,,56,OR,,,,,,,,
,2025,CIDRE DE PAYS BRUT,Cidrerie de l’Apothicaire,,29,ARGENT,,,,,,,,
,2025,CIDRE DE PAYS BRUT,Le Verger de Kernivinen,,22,ARGENT,,,,,,,,
,2025,CIDRE DE PAYS BRUT,Cidrerie du Pays de Plouay,,56,ARGENT,,,,,,,,
,2025,CIDRE DE PAYS DEMI-SEC,Cidrerie La Malvoisine,,56,OR,,,,,,,,
,2025,CIDRE DE PAYS DEMI-SEC,Atelier de la Pépie,,56,OR,,,,,,,,
,2025,CIDRE DE PAYS DEMI-SEC,Cidrerie Château de Lezergué,,29,ARGENT,,,,,,,,
,2025,CIDRE DE PAYS DEMI-SEC,Cidrerie du Pays de Plouay,,56,BRONZE,,,,,,,,
,2025,CIDRE DE PAYS DOUX,Chapron Cidres Sorre,,35,OR,,,,,,,,
,2025,CIDRE DE PAYS DOUX,Cidrerie Château de Lezergué,,29,ARGENT,,,,,,,,
,2025,CIDRE IGP EXTRA-BRUT,Cidrerie Yves Maho,,56,OR,,,,,,,,
,2025,CIDRE IGP EXTRA-BRUT,Cidre du Pays de Brocéliande,,35,ARGENT,,,,,,,,
,2025,CIDRE IGP BRUT,Distillerie des Menhirs,,29,OR,,,,,,,,
,2025,CIDRE IGP BRUT,Cidre du Pays de Brocéliande,,35,ARGENT,,,,,,,,
,2025,CIDRE IGP BRUT,Cidrerie Paul Coïc,,29,ARGENT,,,,,,,,
,2025,CIDRE IGP BRUT,Cidrerie Loïc Raison,,35,ARGENT,,,,,,,,
,2025,CIDRE IGP BRUT,La Maison du cidre,,56,BRONZE,,,,,,,,
,2025,CIDRE IGP DEMI-SEC,Cidrerie Guillet Frères,,44,ARGENT,,,,,,,,
,2025,CIDRE IGP DEMI-SEC,Distillerie des Menhirs,,29,ARGENT,,,,,,,,
,2025,CIDRE IGP DEMI-SEC,Maison Kerloïck,,22,ARGENT,,,,,,,,
,2025,CIDRE IGP DEMI-SEC,Cidre du Pays de Brocéliande,,35,BRONZE,,,,,,,,
,2025,CIDRE IGP DOUX,La Maison du cidre,,56,OR,,,,,,,,
,2025,CIDRE IGP DOUX,Cidrerie Kerné,,29,OR,,,,,,,,
,2025,CIDRE ROSE,Cidrerie Guillet Frères,,44,ARGENT,,,,,,,,
,2025,CIDRE ROSE,Cidrerie Val de Rance,,22,ARGENT,,,,,,,,
,2025,POIRÉ,Au Pressoir du Bélon,,29,OR,,,,,,,,
,2025,POIRÉ,Distillerie du Gorvello,,56,ARGENT,,,,,,,,
,2025,CIDRE HOUBLONN É,Les Vergers de Kermao,,29,OR,,,,,,,,
,2025,JUS DE POMME PETILLANT,Cidrerie Val de Rance,,22,OR,,,,,,,,
,2025,JUS DE POMME PETILLANT,La cidrerie du pays de Brocéliande,,35,OR,,,,,,,,
,2025,JUS DE POMME PETILLANT,La Maison du cidre,,56,ARGENT,,,,,,,,
,2025,JUS DE POMME PETILLANT,La Maison du Perguet,,29,ARGENT,,,,,,,,
,2025,POMMEAU DE MOINS DE 3 ANS,Distillerie du Gorvello,,56,OR,,,,,,,,
,2025,POMMEAU DE MOINS DE 3 ANS,Distillerie Paul Coïc,,29,ARGENT,,,,,,,,
,2025,POMMEAU DE MOINS DE 3 ANS,Distillerie des Menhirs,,29,BRONZE,,,,,,,,
,2025,POMMEAU DE PLUS DE 3 ANS,Les Vergers de Kermao,,29,OR,,,,,,,,
,2025,POMMEAU DE PLUS DE 3 ANS,Cidrerie Paul Coïc,,29,ARGENT,,,,,,,,
,2025,EAU DE VIE DE CIDRE DE MOINS DE 4 ANS,Cidrerie Paul Coïc,,29,OR,,,,,,,,
,2025,EAU DE VIE DE CIDRE DE MOINS DE 4 ANS,Distillerie Warenghem,,22,ARGENT,,,,,,,,
,2025,EAU DE VIE DE CIDRE DE PLUS DE 4 ANS,Les Vergers de Kermao,,29,OR,,,,,,,,
,2025,EAU DE VIE DE CIDRE DE PLUS DE 4 ANS,Cidrerie Paul Coïc,,29,ARGENT,,,,,,,,
