ID,Year,Class,Producer,Medalist,Product,Country,Medal,Origin,WID,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
,2026,Tannin Driven Cider,Bauman’s Cider,Bauman’s Cider,Kingston Black SV,USA,Gold,,,,,,,,,,,,,,,,,
,2026,Tannin Driven Cider,Isaac Cider,Isaac Cider,Calculus,England,Silver,,,,,,,,,,,,,,,,,
,2026,Tannin Driven Cider,Peckham’s Cidery & Orchard,Peckham’s Cidery & Orchard,Major Black 2023,New Zealand,Bronze,,,,,,,,,,,,,,,,,
,2026,Tannin Driven Cider,2 Towns Ciderhouse,2 Towns Ciderhouse,2025 Kingston Black Single Varietal,USA,Gold,,,,,,,,,,,,,,,,,
,2026,Tannin Driven Cider,Isaac Cider,Isaac Cider,Anti-Gravity,England,Silver,,,,,,,,,,,,,,,,,
,2026,Tannin Driven Cider,Haye Farm Cider,Haye Farm Cider,Haye Farm Cider – Sparkling Cornish Cider,England,Bronze,,,,,,,,,,,,,,,,,
,2026,Tannin Driven Cider,Annapolis Cider Company,Annapolis Cider Company,Dore´ du Bassin des Mines,Canada,Gold,,,,,,,,,,,,,,,,,
,2026,Tannin Driven Cider,Hogan’s Cider,Hogan’s Cider,Hogan’s French Revelation Cider,England,Silver,,,,,,,,,,,,,,,,,
,2026,Tannin Driven Cider,English Wine Project,English Wine Project,Buck Cider,England,Bronze,,,,,,,,,,,,,,,,,
,2026,Acid Driven Cider Class,Small Cider,Small Cider,Buy Up The Sunset,Sweden,Gold,,,,,,,,,,,,,,,,,
,2026,Acid Driven Cider Class,Alde Sider,Alde Sider,Alde Klassisk,Norway,Silver,,,,,,,,,,,,,,,,,
,2026,Acid Driven Cider Class,Forbuden Frukt,Forbuden Frukt,Skamløs,Norway,Bronze,,,,,,,,,,,,,,,,,
,2026,Acid Driven Cider Class,2 Towns Ciderhouse,2 Towns Ciderhouse,14th Anniversary,USA,Gold,,,,,,,,,,,,,,,,,
,2026,Acid Driven Cider Class,Bauman’s Cider,Bauman’s Cider,Mountain Rose SV,USA,Silver,,,,,,,,,,,,,,,,,
,2026,Acid Driven Cider Class,Bauman’s Cider,Bauman’s Cider,McIntosh SV,USA,Bronze,,,,,,,,,,,,,,,,,
,2026,Acid Driven Cider Class,Heineken Beverages SA (Pty) Ltd,Heineken Beverages SA (Pty) Ltd,Savanna Light,South Africa,Gold,,,,,,,,,,,,,,,,,
,2026,Acid Driven Cider Class,C & C Group – Bulmers Ireland,C & C Group – Bulmers Ireland,Outcider Irish Cider,Ireland,Silver,,,,,,,,,,,,,,,,,
,2026,Naturally Sparkling,Brady’s Lookout Cider,Brady’s Lookout Cider,Legana Wild Cuvee 20 MT Cider,Australia,Gold,,,,,,,,,,,,,,,,,
,2026,Naturally Sparkling,Bauman’s Cider,Bauman’s Cider,Endless Harvest,USA,Gold,,,,,,,,,,,,,,,,,
,2026,Naturally Sparkling,Forty Acres Ltd,Forty Acres Ltd,Angioletti Selezione Italian Cider,Italy,Silver,,,,,,,,,,,,,,,,,
,2026,Naturally Sparkling,Azienda Agricola Substrato,Azienda Agricola Substrato,Granato,Italy,Bronze,,,,,,,,,,,,,,,,,
,2026,Perry Cider- Class 4 (2% – 8.5% abv),Hogan’s Cider,Hogan’s Cider,Hogans Classic Perry,England,Gold,,,,,,,,,,,,,,,,,
,2026,Perry Cider- Class 4 (2% – 8.5% abv),Napton Cidery,Napton Cidery,Vintage Perry,England,Silver,,,,,,,,,,,,,,,,,
,2026,Fruit Flavoured Cider – Berries,Bauman’s Cider,Bauman’s Cider,Loganberry Cider,USA,Gold,,,,,,,,,,,,,,,,,
,2026,Fruit Flavoured Cider – Berries,Tempted Cider,Tempted Cider,Tempted Strawberry Cider,Northern Ireland,Silver,,,,,,,,,,,,,,,,,
,2026,Fruit Flavoured Cider – Berries,Cornish Orchards,Cornish Orchards,Cherry & Blackberry,England,Gold,,,,,,,,,,,,,,,,,
,2026,Flavoured – Other Fruit & Flowers,Stonewell Cider,Stonewell Cider,Rós,Ireland,Gold,,,,,,,,,,,,,,,,,
,2026,Flavoured – Other Fruit & Flowers,Tempted Cider,Tempted Cider,Tempted Elderflower Cider,Northern Ireland,Silver,,,,,,,,,,,,,,,,,
,2026,Cider with Botanicals,Azienda Agricola Ca’ du Ratto,Azienda Agricola Ca’ du Ratto,Sidro Autunno,Italy,Gold,,,,,,,,,,,,,,,,,
,2026,Ice Cider,Alde Sider,Alde Sider,Alde Issider,Norway,Gold,,,,,,,,,,,,,,,,,
,2026,Low & No Cider and Perry,Peckham’s Cidery & Orchard,Peckham’s Cidery & Orchard,Apple Zero,New Zealand,Gold,,,,,,,,,,,,,,,,,
,2026,Low & No Cider and Perry,Sandford Orchards,Sandford Orchards,Red Zero,England,Silver,,,,,,,,,,,,,,,,,
,2026,Low & No Cider and Perry,Tempted Cider,Tempted Cider,Tempted Low Alcohol Cider,Northern Ireland,Bronze,,,,,,,,,,,,,,,,,
,2026,Open Class Cider,Annapolis Cider Company,Annapolis Cider Company,Arctic Kiwi Jr.,Canada,Gold,,,,,,,,,,,,,,,,,
,2026,Open Class Cider,Mac Ivors Cider,Mac Ivors Cider,Mac Ivors Fine Cider Cask 3,Northern Ireland,Silver,,,,,,,,,,,,,,,,,
,2026,Open Class Cider,Alde Sider,Alde Sider,Alde Svans,Norway,Bronze,,,,,,,,,,,,,,,,,
