ID,Year,Class,Entrant,Town,Region,Place,WID,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude
,2026,Dry Cider,Pips Cider,Dorstone,Herefordshire,First,,,,,,,,,
,2026,Dry Cider,Robin Bornoff,Ross-on-Wye,Herefordshire,Second,,,,,,,,,
,2026,Dry Cider,Austringer Cider,Cwmavon,Glamorgan,Third,,,,,,,,,
,2026,Medium Cider,Robin Bornoff,Ross-on-Wye,Herefordshire,First,,,,,,,,,
,2026,Medium Cider,Austringer Cider,Cwmavon,Glamorgan,Second,,,,,,,,,
,2026,Medium Cider,Pips Cider,Dorstone,Herefordshire,Third,,,,,,,,,
,2026,Sweet Cider,Llanblethian Orchards,Cowbridge,Vale of Glamorgan,First,,,,,,,,,
,2026,Sweet Cider,Robin Bornoff,Ross-on-Wye,Herefordshire,Second,,,,,,,,,
,2026,Sweet Cider,Henhope Cider,Upper Dormington,Herefordshire,Third,,,,,,,,,
,2026,Dry Perry,Alistair Smith,Eastwood,Nottinghamshire,First,,,,,,,,,
,2026,Dry Perry,Newton Court Cider,Leominster,Herefordshire,Second,,,,,,,,,
,2026,Dry Perry,Gregg’s Pit Cider & Perry,Much Marcle,Herefordshire,Third,,,,,,,,,
,2026,Medium Perry,Gwatkin Cider,Abbeydore,Herefordshire,First,,,,,,,,,
,2026,Medium Perry,Gregg’s Pit Cider & Perry,Much Marcle,Herefordshire,Second,,,,,,,,,
,2026,Medium Perry,Alistair Smith,Eastwood,Nottinghamshire,Third,,,,,,,,,
,2026,Sweet Perry,Rosie’s Triple D Cider,Wrexham,Denbighshire,First,,,,,,,,,
,2026,Sweet Perry,Gregg’s Pit Cider & Perry,Much Marcle,Herefordshire,Second,,,,,,,,,
,2026,Sweet Perry,Tom Wallis,Winforton,Herefordshire,Third,,,,,,,,,
,2026,Single Variety Cider,Brecon Beacons Cider,Brecon,Powys,First,,,,,,,,,
,2026,Single Variety Cider,Butford Organics,Bodenham,Herefordshire,Second,,,,,,,,,
,2026,Single Variety Cider,Cydr Ignacow,,Poland,Third,,,,,,,,,
,2026,Culinary/Dessert Cider – Dry,Newton Court Cider,Leominster,Herefordshire,First,,,,,,,,,
,2026,Culinary/Dessert Cider – Dry,Alistair Smith,Eastwood,Nottinghamshire,Second,,,,,,,,,
,2026,Culinary/Dessert Cider – Dry,Gwatkin Cider Co Ltd,Abbey Dore,Herefordshire,Third,,,,,,,,,
,2026,Culinary/Dessert Cider – Medium/Sweet,Hares Hatch,Lugwardine,Herefordshire,First,,,,,,,,,
,2026,Culinary/Dessert Cider – Medium/Sweet,Gwatkin Cider Co Ltd,Abbey Dore,Herefordshire,Second,,,,,,,,,
,2026,Naturally Sparkling Cider,Hâld Moed Cidery,Fryslân,The Netherlands,First,,,,,,,,,
,2026,Naturally Sparkling Cider,Llanblethian Orchards,Cowbridge,Vale of Glamorgan,Second,,,,,,,,,
,2026,Naturally Sparkling Cider,Roland Woodman,Llwynmawr,North Wales,Third,,,,,,,,,
,2026,Naturally Sparkling Perry,Gregg’s Pit Cider & Perry,Much Marcle,Herefordshire,First,,,,,,,,,
,2026,Naturally Sparkling Perry,Butford Organics,Bodenham,Herefordshire,Second,,,,,,,,,
,2026,Naturally Sparkling Perry,Redvers Cider & Perry,Bishops Frome,Herefordshire,Third,,,,,,,,,
,2026,Best Presented Packaged Cider or Perry,Newton Court Cider,Leominster,Herefordshire,First,,,,,,,,,
,2026,Best Presented Packaged Cider or Perry,Gwatkin Cider Co Ltd,Abbey Dore,Herefordshire,Second,,,,,,,,,
,2026,Best Presented Packaged Cider or Perry,Harry Whiting,Taunton,Somerset,Third,,,,,,,,,
,2026,Speciality Cider or Perry,Llanblethian Orchards,Cowbridge,Vale of Glamorgan,First,,,,,,,,,
,2026,Speciality Cider or Perry,Little Pomona,Bromyard,Herefordshire,Second,,,,,,,,,
,2026,Speciality Cider or Perry,Gwatkin Cider Co Ltd,Abbey Dore,Herefordshire,Third,,,,,,,,,
