ID,Year,Category,Award,Medalist_Original,Entry,Region,Country,Region_Original,WID,Status,Medalist,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd,Latitude,Longitude,Transparency
,2025,Modern Cider – Sweet,Gold,,McKenzie’s Original,New York,,,,,FX Matt Brewing Co.,,,,,,,,,,
,2025,Modern Cider – Sweet,Silver,,Premium Apple Cider,Ontario,,,,,Thornbury Craft Co.,,,,,,,,,,
,2025,Modern Cider – Sweet,Bronze,,Ciderboys First Press,Wisconsin,,,,,Ciderboys Hard Cider,,,,,,,,,,
,2025,Modern Cider – Dry,Gold,,Tubman’s Tenacity,Pennsylvania,,,,,Arsenal Cider House,,,,,,,,,,
,2025,Modern Cider – Dry,Silver,,Westcider,New York,,,,,Blue Barn Cidery,,,,,,,,,,
,2025,Modern Cider – Dry,Bronze,,Fox Fire,Wisconsin,,,,,"White Winter Mead, Cider, Spirits",,,,,,,,,,
,2025,Heritage Cider,Gold,,Golden Russett,Pennsylvania,,,,,Arsenal Cider House,,,,,,,,,,
,2025,Heritage Cider,Silver,,Excelsior Imperial Apple,Washington,,,,,Schilling Cider,,,,,,,,,,
,2025,Heritage Cider,Bronze,,Penn Cider Apple,Pennsylvania,,,,,Penn Brewery,,,,,,,,,,
,2025,Heritage Cider,Bronze,,Nebraska Heirloom,Nebraska,,,,,Vala’s Orchard Cider Co.,,,,,,,,,,
,2025,Traditional Cider,Gold,,Classic Hard Cider,Kentucky,,,,,Country Boy Brewing,,,,,,,,,,
,2025,Traditional Cider,Silver,,Driftless French,Wisconsin,,,,,James Werner,,,,,,,,,,
,2025,Perry,Gold,,"Alfred’s Pear, Son!",Pennsylvania,,,,,Arsenal Cider House,,,,,,,,,,
,2025,Perry,Silver,,Ciderboys Pear Naked,Wisconsin,,,,,Ciderboys Hard Cider,,,,,,,,,,
,2025,Perry,Bronze,,Simply Perry,Nebraska,,,,,Papa Moon Ciders,,,,,,,,,,
,2025,Apple Pear,Gold,,Pear,Vermont,,,,,Wyders Cider,,,,,,,,,,
,2025,Apple Pear,Silver,,Thornbury Craft Co. Pear Apple Cider,Ontario,,,,,Thornbury Craft Co.,,,,,,,,,,
,2025,Apple Pear,Silver,,Pearsecco,Vermont,,,,,Woodchuck Cider,,,,,,,,,,
,2025,Fruit Cider,Gold,,Excelsior Imperial Passionfruit Pineapple,Washington,,,,,Schilling Cider,,,,,,,,,,
,2025,Fruit Cider,Silver,,Apricot Tillarita,Nebraska,,,,,Glacial Till,,,,,,,,,,
,2025,Fruit Cider,Bronze,,Lindsey’s Lemon,Pennsylvania,,,,,Arsenal Cider House,,,,,,,,,,
,2025,Orange/Blood Orange Cider,Gold,,Ciderboys Grand Mimosa,Wisconsin,,,,,Ciderboys Hard Cider,,,,,,,,,,
,2025,Orange/Blood Orange Cider,Silver,,Moonmosa,Nebraska,,,,,Papa Moon Ciders,,,,,,,,,,
,2025,Pomegranate Cider,Gold,,Pomegranate,Nebraska,,,,,Glacial Till,,,,,,,,,,
,2025,Pomegranate Cider,Silver,,ACE IMPERIAL POMEGRANATE,California,,,,,ACE Cider,,,,,,,,,,
,2025,Pomegranate Cider,Bronze,,Prickly Pom,Arizona,,,,,Six Byrd Cider,,,,,,,,,,
,2025,Pineapple Cider,Gold,,Ciderboys Pineapple Hula,Wisconsin,,,,,Ciderboys Hard Cider,,,,,,,,,,
,2025,Pineapple Cider,Silver,,ACE PINEAPPLE CRAFT CIDER,California,,,,,ACE Cider,,,,,,,,,,
,2025,Pineapple Cider,Bronze,,Pineapple Cider,Kentucky,,,,,Country Boy Brewing,,,,,,,,,,
,2025,Pineapple Cider,Bronze,,Pineapple Cider,Ohio,,,,,Sons of Toil Brewing,,,,,,,,,,
,2025,Cherry Cider,Gold,,McKenzie’s Black Cherry,New York,,,,,FX Matt Brewing Co.,,,,,,,,,,
,2025,Cherry Cider,Silver,,Ciderboys Cherry Jubilee,Wisconsin,,,,,Ciderboys Hard Cider,,,,,,,,,,
,2025,Cherry Cider,Bronze,,Yellow Belly Cherry Cider,Minnesota,,,,,Sapsucker Farms Yellow Belly Cidery,,,,,,,,,,
,2025,Cherry Cider,Bronze,,Cherry Cider,Ontario,,,,,Niagara College Teaching Winery,,,,,,,,,,
,2025,Peach Cider,Gold,,White Peach Mango Jam,New York,,,,,Blue Barn Cidery,,,,,,,,,,
,2025,Peach Cider,Silver,,Peach Cider,Kentucky,,,,,Country Boy Brewing,,,,,,,,,,
,2025,Peach Cider,Bronze,,Wölffer No. 139 Peach Cider,New York,,,,,Wölffer Estate Vineyard,,,,,,,,,,
,2025,Cranberry Cider,Gold,,Cranberry Star,Georgia,,,,,Cherry Street Brewing,,,,,,,,,,
,2025,Cranberry Cider,Silver,,Cranberry Cider,Kentucky,,,,,Country Boy Brewing,,,,,,,,,,
,2025,Cranberry Cider,Bronze,,Cranberry,Georgia,,,,,Atlanta Hard Cider Co. & Distillery,,,,,,,,,,
,2025,Fruit & Berry Cider,Gold,,KIW Black Currant,Washington,,,,,Schilling Cider,,,,,,,,,,
,2025,Fruit & Berry Cider,Silver,,Moon Berries,Washington,,,,,Schilling Cider,,,,,,,,,,
,2025,Fruit & Berry Cider,Bronze,,Jostaberry Jam,New York,,,,,Blue Barn Cidery,,,,,,,,,,
,2025,Raspberry Cider,Gold,,Red Raspberry Cider,Ohio,,,,,Sons of Toil Brewing,,,,,,,,,,
,2025,Raspberry Cider,Silver,,Thornbury Craft Co. Raspberry Apple Cider,Ontario,,,,,Thornbury Craft Co.,,,,,,,,,,
,2025,Raspberry Cider,Bronze,,Ida’s Heart,New Jersey,,,,,Armageddon Brewing,,,,,,,,,,
,2025,Strawberry Cider,Gold,,Ciderboys Strawberry Magic,Wisconsin,,,,,Ciderboys Hard Cider,,,,,,,,,,
,2025,Strawberry Cider,Silver,,Strawberry Rhubarb,Nebraska,,,,,Glacial Till,,,,,,,,,,
,2025,Strawberry Cider,Bronze,,Strawberry Rhube Awakening,Washington,,,,,Schilling Cider,,,,,,,,,,
,2025,Blueberry Cider,Gold,,Thornbury Craft Co. Wild Blueberry Elderflower Apple Cider,Ontario,,,,,Thornbury Craft Co.,,,,,,,,,,
,2025,Blueberry Cider,Silver,,Blueberry Fest Cider,Wisconsin,,,,,"White Winter Mead, Cider, Spirits",,,,,,,,,,
,2025,Blueberry Cider,Bronze,,Blueberry,Vermont,,,,,Woodchuck Cider,,,,,,,,,,
,2025,Apple Wine/Ice,Gold,,Imperial Apple,Virginia,,,,,Bold Rock Hard Cider,,,,,,,,,,
,2025,Apple Wine/Ice,Silver,,Ice Cider II,Nebraska,,,,,Glacial Till,,,,,,,,,,
,2025,Apple Wine/Ice,Bronze,,Pure Liquid Gold(PLG),Arizona,,,,,Six Byrd Cider,,,,,,,,,,
,2025,Herbal Cider,Gold,,Mango Foxtrot,Arizona,,,,,Cider Corps,,,,,,,,,,
,2025,Herbal Cider,Silver,,Tulsi,New Jersey,,,,,Armageddon Brewing,,,,,,,,,,
,2025,Herbal Cider,Bronze,,Honey Lavender,Nebraska,,,,,Papa Moon Ciders,,,,,,,,,,
,2025,Hopped Cider,Gold,,GALACTIC CHARLIE GOES TO IDAHO,Pennsylvania,,,,,FIVE MAIDENS CIDER CO,,,,,,,,,,
,2025,Hopped Cider,Silver,,IPA,Virginia,,,,,Bold Rock Hard Cider,,,,,,,,,,
,2025,Hopped Cider,Silver,,Hopped,Ohio,,,,,Bent Ladder Cidery,,,,,,,,,,
,2025,Hopped Cider,Bronze,,NECTARON CIDER,Pennsylvania,,,,,FIVE MAIDENS CIDER CO,,,,,,,,,,
,2025,Apple Pie Spiced Cider,Gold,,Gold Medal Apple Pie Cider,Kentucky,,,,,Country Boy Brewing,,,,,,,,,,
,2025,Apple Pie Spiced Cider,Gold,,Spiced Apple Cider,Ohio,,,,,Sons of Toil Brewing,,,,,,,,,,
,2025,Apple Pie Spiced Cider,Silver,,American Apple Pie,Arizona,,,,,Cider Corps,,,,,,,,,,
,2025,Apple Pie Spiced Cider,Bronze,,Excelsior Imperial Apple Pie,Washington,,,,,Schilling Cider,,,,,,,,,,
,2025,Spiced Cider,Gold,,Bourbon Mango Hobanaro,New Jersey,,,,,Beach Bee Meadery,,,,,,,,,,
,2025,Spiced Cider,Silver,,Cranberry Spice,Arizona,,,,,Six Byrd Cider,,,,,,,,,,
,2025,Spiced Cider,Bronze,,Snowbound Cinnamon,Pennsylvania,,,,,Arsenal Cider House,,,,,,,,,,
,2025,Wood-Aged Cider,Gold,,Blueberry Pancake,Nebraska,,,,,Glacial Till,,,,,,,,,,
,2025,Wood-Aged Cider,Silver,,Wild Meadow Reserve,Nebraska,,,,,Vala’s Orchard Cider Co.,,,,,,,,,,
,2025,Wood-Aged Cider,Bronze,,QUARTER HOOP,Pennsylvania,,,,,FIVE MAIDENS CIDER CO,,,,,,,,,,
,2025,Specialty Cider and Perry,Gold,,Caramel Apple,Nebraska,,,,,Glacial Till,,,,,,,,,,
,2025,Specialty Cider and Perry,Silver,,Spicy Archibald,Pennsylvania,,,,,Arsenal Cider House,,,,,,,,,,
,2025,Specialty Cider and Perry,Bronze,,Orange Cream Cider,Kentucky,,,,,Country Boy Brewing,,,,,,,,,,
,2025,Anything Goes,Gold,,Bobbie Sue’s Blackberry Lemonade,Tennessee,,,,,Gatlinburg Brewing Company,,,,,,,,,,
,2025,Anything Goes,Silver,,Lavender Lemonade,North Carolina,,,,,Brunswick Beer and Cider,,,,,,,,,,
,2025,Anything Goes,Bronze,,Tropical Sour Cider,Pennsylvania,,,,,Arsenal Cider House,,,,,,,,,,
,2025,Anything Goes,Bronze,,Apollo Palmer,Nebraska,,,,,Papa Moon Ciders,,,,,,,,,,
,2025,Single Varietal Cider,Gold,,Thornbury Craft Co. Honeycrisp Apple Cider – Thornbury Craft Co. – OntarioSILVER: BETTY,Pennsylvania,,,,,FIVE MAIDENS CIDER CO,,,,,,,,,,
,2025,Single Varietal Cider,Bronze,,Golden Russet,Maryland,,,,,Doc Waters Cidery,,,,,,,,,,
,2025,Pumpkin Spice Cider,Gold,,Pumpkin Spice,Georgia,,,,,Atlanta Hard Cider Co. & Distillery,,,,,,,,,,
,2025,Pumpkin Spice Cider,Silver,,Ichabod’s Bane,New Jersey,,,,,Armageddon Brewing,,,,,,,,,,
,2025,Pumpkin Spice Cider,Bronze,,Grant’s Flying Pumpkin,Pennsylvania,,,,,Arsenal Cider House,,,,,,,,,,
