competition_id,year,awards
australian-cider-awards,2011,18
australian-cider-awards,2012,37
australian-cider-awards,2013,73
australian-cider-awards,2014,58
australian-cider-awards,2015,105
australian-cider-awards,2016,118
australian-cider-awards,2017,194
australian-cider-awards,2018,187
australian-cider-awards,2019,156
australian-cider-awards,2021,152
australian-cider-awards,2022,123
australian-cider-awards,2023,168
australian-cider-awards,2024,162
cidercraft-awards,2017,91
cidercraft-awards,2018,104
cidercraft-awards,2019,112
cidercraft-awards,2020,123
cidercraft-awards,2022,124
cidercraft-awards,2023,150
cidercraft-awards,2024,147
ciderworld-awards,2018,115
ciderworld-awards,2019,110
ciderworld-awards,2020,129
ciderworld-awards,2021,147
ciderworld-awards,2022,156
ciderworld-awards,2023,157
ciderworld-awards,2024,155
concours-des-cidres-de-normandie,2020,67
concours-des-cidres-de-normandie,2021,67
concours-des-cidres-de-normandie,2022,69
concours-des-cidres-de-normandie,2023,64
concours-des-cidres-de-normandie,2024,59
concours-general-agricole,2017,66
concours-general-agricole,2018,57
concours-general-agricole,2019,63
concours-general-agricole,2020,54
concours-general-agricole,2022,68
concours-general-agricole,2023,62
concours-general-agricole,2024,55
concours-regional-cidricole-de-bretagne,2017,27
concours-regional-cidricole-de-bretagne,2018,32
concours-regional-cidricole-de-bretagne,2019,31
concours-regional-cidricole-de-bretagne,2021,37
concours-regional-cidricole-de-bretagne,2022,40
concours-regional-cidricole-de-bretagne,2023,42
concours-regional-cidricole-de-bretagne,2024,42
glintcap,2005,23
glintcap,2006,37
glintcap,2007,39
glintcap,2008,50
glintcap,2009,67
glintcap,2011,142
glintcap,2012,137
glintcap,2013,240
glintcap,2014,307
glintcap,2015,413
glintcap,2016,620
glintcap,2017,731
glintcap,2018,945
glintcap,2019,1075
glintcap,2021,1152
glintcap,2022,1040
glintcap,2023,1054
glintcap,2024,813
good-food-awards,2016,20
good-food-awards,2017,28
good-food-awards,2018,23
good-food-awards,2019,25
good-food-awards,2020,25
good-food-awards,2021,26
good-food-awards,2022,30
good-food-awards,2023,38
good-food-awards,2024,24
international-cider-awards,2013,10
international-cider-awards,2015,21
international-cider-awards,2017,28
international-cider-awards,2019,34
international-cider-awards,2021,32
international-cider-awards,2024,32
international-cider-challenge,2018,199
international-cider-challenge,2019,180
international-cider-challenge,2020,158
international-cider-challenge,2021,117
international-cider-challenge,2022,121
international-cider-challenge,2023,139
international-cider-challenge,2024,107
japan-cider-cup,2023,40
japan-cider-cup,2024,98
museum-of-cider,2023,36
museum-of-cider,2024,37
nordic-international-cider-awards,2022,195
nordic-international-cider-awards,2023,201
northwest-cider-cup,2013,22
northwest-cider-cup,2014,17
northwest-cider-cup,2015,22
northwest-cider-cup,2016,26
northwest-cider-cup,2017,31
northwest-cider-cup,2018,47
northwest-cider-cup,2019,48
northwest-cider-cup,2021,45
northwest-cider-cup,2022,60
northwest-cider-cup,2023,51
northwest-cider-cup,2024,57
royal-bath-and-west,2023,341
royal-bath-and-west,2024,307
royal-three-counties,2023,34
royal-three-counties,2024,33
sagardo-forum,2017,151
sagardo-forum,2019,140
sagardo-forum,2021,173
sagardo-forum,2023,203
sisga,2013,8
sisga,2014,15
sisga,2015,26
sisga,2016,30
sisga,2017,35
sisga,2018,39
sisga,2019,55
sisga,2020,161
sisga,2021,86
sisga,2022,80
sisga,2023,156
sisga,2024,127
us-open-cider-championship,2014,9
us-open-cider-championship,2015,23
us-open-cider-championship,2016,44
us-open-cider-championship,2017,62
us-open-cider-championship,2018,69
us-open-cider-championship,2019,80
us-open-cider-championship,2020,78
us-open-cider-championship,2021,75
us-open-cider-championship,2022,91
us-open-cider-championship,2023,93
us-open-cider-championship,2024,98
