field,value,rows
country,#N/A,2
country,Argentina,2
country,Armenia,2
country,Australia,1440
country,Austria,102
country,Belgium,10
country,Brazil,1
country,Canada,108
country,Chile,8
country,China,1
country,Croatia,2
country,Cyprus,1
country,Czech Republic,8
country,Czechia,67
country,Denmark,56
country,England,612
country,Estonia,28
country,Finland,47
country,France,265
country,Germany,429
country,Guernsey,3
country,Hungary,2
country,Iceland,1
country,India,10
country,Ireland,60
country,Italy,147
country,Japan,46
country,Kazakhstan,2
country,Latvia,140
country,Lebanon,7
country,Lithuania,8
country,Luxembourg,47
country,Netherlands,40
country,New Zealand,51
country,Northern Ireland,31
country,Norway,306
country,Peru,2
country,Poland,84
country,Portugal,54
country,Scotland,25
country,Serbia,2
country,Slovakia,5
country,Slovenia,1
country,South Africa,18
country,South Korea,6
country,Spain,531
country,Sweden,60
country,Switzerland,30
country,USA,729
country,Ukraine,7
country,United Kingdom,6
country,Vietnam,2
country,Wales,12
region,#N/A,2
region,AZ,5
region,Aberdeenshire,7
region,Alaska,2
region,Antwerp,1
region,Aosta Valley,25
region,Araucanía,4
region,Arizona,15
region,Arkansas,14
region,Asturias,334
region,Auckland,2
region,Australia,11
region,Australian Capital Territory,12
region,Austria,31
region,Auvergne-Rhône-Alpes,1
region,BC,2
region,Baden-Württemberg,64
region,Banská Bystrica,1
region,Basque Country,160
region,Belgium,1
region,Bragança,5
region,British Columbia,52
region,Brittany,251
region,Buckinghamshire,1
region,CA,9
region,CO,59
region,CT,11
region,California,78
region,Canary Islands,52
region,Cantabria,15
region,Capital Region,1
region,Carlow,5
region,Catalonia,22
region,Central,42
region,Central Bohemia,5
region,Central Denmark,4
region,Centre-Val de Loire,5
region,Chile,3
region,Colorado,69
region,Connecticut,3
region,Cork,13
region,Cornwall,2
region,Czechia,9
region,Côtes-d'Armor,39
region,Delaware,9
region,Denbighshire,9
region,Derbyshire,2
region,Dessert / Fortified,1
region,Devon,1
region,Dorset,2
region,East,57
region,East Yorkshire,5
region,Echternach,6
region,Emilia-Romagna,5
region,England,30
region,Estonia,5
region,Faro,6
region,Finistère,134
region,Finland,3
region,Flintshire,3
region,Florida,32
region,France,46
region,GA,1
region,Galicia,17
region,Georgia,32
region,Germany,43
region,Glamorgan,2
region,Gloucestershire,11
region,Grand Est,3
region,Greater London,1
region,Greater Poland,4
region,Groningen,1
region,Gulbene,11
region,Gunma,4
region,Hauts-de-France,10
region,Hawaii,5
region,Hawke's Bay,12
region,Herefordshire,124
region,Hesse,7
region,Idaho,26
region,Ille-et-Vilaine,26
region,Illinois,2
region,Indiana,1
region,Iowa,1
region,Ireland,4
region,Italy,18
region,KS,5
region,Kalmar,1
region,Karlovy Vary,12
region,Kent,1
region,Kentucky,17
region,Košice,2
region,Kyiv,2
region,Latvia,4
region,Lebanon,3
region,Leiria,4
region,Lesser Poland,4
region,León,9
region,Liège,1
region,Loire-Atlantique,9
region,Lombardy,3
region,Los Ríos,3
region,Lower Austria,5
region,Lower Silesia,1
region,Lower Silesian,7
region,Lublin,6
region,Luxembourg,5
region,MA,2
region,MI,3
region,Madeira,17
region,Madrid,1
region,Maine,15
region,Maryland,4
region,Masovian,24
region,Massachusetts,27
region,Michigan,72
region,Minnesota,43
region,Missouri,3
region,Montana,17
region,Moravia-Silesia,2
region,Morbihan,43
region,NC,6
region,NE,8
region,NJ,4
region,NY,14
region,Navarre,24
region,Neath Port Talbot,1
region,Nebraska,71
region,Nelson,7
region,Netherlands,17
region,New Hampshire,2
region,New Jersey,14
region,New Mexico,4
region,New South Wales,315
region,New York,111
region,New Zealand,1
region,Newport,8
region,Normandy,167
region,North,56
region,North Carolina,54
region,North Holland,3
region,North Wales,1
region,North Yorkshire,9
region,Norway,30
region,Nottinghamshire,21
region,Nouvelle-Aquitaine,20
region,Nova Scotia,7
region,OH,2
region,OR,42
region,Ogre,23
region,Ohio,33
region,Olomouc,1
region,Ontario,70
region,Oregon,393
region,Overijssel,3
region,Oxfordshire,1
region,PA,2
region,Pays de la Loire,51
region,Pennsylvania,73
region,Peru,2
region,Piedmont,1
region,Plzeň,5
region,Podlaskie,3
region,Poland,16
region,Portugal,10
region,Powys,1
region,Prague,2
region,Pärnu,11
region,Quebec,33
region,Queensland,31
region,Rhondda Cynon Taf,2
region,Russia,1
region,Saarland,5
region,Slovakia,4
region,Smiltene,9
region,Somerset,7
region,South,39
region,South Australia,248
region,South Bohemia,15
region,South Kurzeme,1
region,South Moravia,10
region,Southwest Finland,7
region,Styria,1
region,Subcarpathian,12
region,Suffolk,4
region,Sweden,11
region,Switzerland,2
region,TN,5
region,Tasman,15
region,Tasmania,252
region,Tauragė,2
region,Telemark,3
region,Tennessee,18
region,Texas,15
region,The Netherlands,1
region,Tipperary,10
region,Trentino-South Tyrol,8
region,Ukraine,6
region,United States,58
region,Uruguay,1
region,Utah,7
region,Utrecht,8
region,VA,2
region,VT,20
region,Vale of Glamorgan,7
region,Valka,2
region,Veneto,6
region,Vermont,71
region,Vestfold,4
region,Viana do Castelo,1
region,Victoria,394
region,Virginia,43
region,Västerbotten,3
region,WA,65
region,WI,6
region,Warwickshire,2
region,Washington,414
region,Wellington,1
region,West,45
region,West Coast,5
region,West Midlands,2
region,West Virginia,1
region,Western Australia,164
region,Western Cape,1
region,Wisconsin,65
region,Worcestershire,14
region,Zealand,1
region,Zlín,1
region,Île-de-France,28
region,Örebro,2
