Year,Medalist,WID,where,place
2025,Akiu Winery,2019,entered before,
2025,Albemarle CiderWorks,83,World Cider Map,"North Garden, Virginia, United States"
2025,Annapolis Cider Company,718,World Cider Map,"Wolfville, Nova Scotia, Canada"
2025,Avid Cider,103,entered before,
2025,Baeren Brewery,3216,entered before,
2025,Cidernations,3706,World Cider Map,"Antwerp, Antwerp, Belgium"
2025,Crazy Cider,3200,World Cider Map,"Hirakawa, Aomori, Japan"
2025,Farm & Cidery Kaneshige,2017,World Cider Map,"Shimojō, Nagano, Japan"
2025,Gio Hills Winery,2824,entered before,
2025,Hikaru no Hata,2833,entered before,
2025,Hirosaki Meijo,2831,entered before,
2025,Institut Agricole Régional,2031,World Cider Map,"Aosta, Aosta Valley, Italy"
2025,Izumi Brewery,2835,entered before,
2025,Kamoshika Cidre,2820,entered before,
2025,Kikusui Brewing,2016,entered before,
2025,Marukame Cidery,2011,entered before,
2025,Miyazaki Phoenix Brewing,3201,entered before,
2025,Neon Cider,2146,entered before,
2025,Raven's Moon Craft Cider,729,World Cider Map,"Courtenay, British Columbia, Canada"
2025,Right Bee Cider,518,entered before,
2025,Ringoya Suda,3171,World Cider Map,"Sakuho, Nagano, Japan"
2025,Saigon Cider,2147,entered before,
2025,Small Acres Cyder,1175,entered before,
2025,Tamura Farm,3220,entered before,
2025,Urban Farm Fermentory,658,World Cider Map,"Portland, Maine, United States"
2025,VinVie Winery & Cidery,2010,entered before,
2025,Zattana,3223,entered before,
2026,and CIDER,2823,entered before,
2026,Bute Cider,3005,World Cider Map,"Umeå, Västerbotten, Sweden"
2026,Cidre RonRon,3226,World Cider Map,"Shisō, Hyōgo, Japan"
2026,Crazy Cider,3200,World Cider Map,"Hirakawa, Aomori, Japan"
2026,Edinburgh Cider Co.,2343,World Cider Map,"Edinburgh, City of Edinburgh, Scotland"
2026,Elemental Cider,2334,World Cider Map,"Ōtaki, Wellington, New Zealand"
2026,Farm & Cidery Kaneshige,2017,World Cider Map,"Shimojō, Nagano, Japan"
2026,Fukiware Cidrerie,2468,World Cider Map,"Numata, Gunma, Japan"
2026,Heeman’s,1071,entered before,
2026,Hirosaki Meijo,2831,entered before,
2026,Izumi Brewery,2835,entered before,
2026,Kikusui Brewing,2016,entered before,
2026,Marukame Cidery,2011,entered before,
2026,Portland Cider,490,entered before,
2026,Raven's Moon Craft Cider,729,World Cider Map,"Courtenay, British Columbia, Canada"
2026,Ringoya Suda,3171,World Cider Map,"Sakuho, Nagano, Japan"
2026,Tamura Farm,3220,entered before,
2026,TateshiNapple,1388,World Cider Map,"Tateshina, Kitasaku, Japan"
2026,The Cider Factorie,1550,World Cider Map,"Te Puna, Bay of Plenty, New Zealand"
2026,VinVie Winery & Cidery,2010,entered before,
2026,Zattana,3223,entered before,
