Name,Type,Status,Town_City,Region,Country,Website,looks_like,awards,competitions,years,example_ciders,region_as_published,closest_map_name,closest_score
Apple Theory Cidery,Cider,Active,,,,,,7,glintcap,2025-2026,Porter’s Perfection; Chisel Jersey; Esopus Spitzenburg,,The Apple,0.535
Cidrerie Guillet Frères,Cider,Active,,44,,,,7,concours-regional-cidricole-de-bretagne,2025-2026,,44,Groualle Frères,0.531
Crow River Winery,Cider,Active,,,,,,7,glintcap,2025-2026,Bear Creek; Belle Lake; South Fork,,Still River Winery,0.574
Starfall Cider Co,Cider,Active,,WA,,,,7,cidercraft-awards; glintcap,2026,Imperial Raspberry; Imperial White Peach; Imperial Tart Cherry,WA,,
Alchemy Cider Co.,Cider,Active,,,,,,6,glintcap,2026,Desolation Dry; Blackberry Magic; Le Sorcier French Blend,,Core Alchemy Cider,0.595
Copper & Kings,Cider,Active,,,,,,6,glintcap,2026,Pommeau; Unchapitalized Apple brandy in Ex-Bourbon barrels; Apple Brandy BIB,,Kings Mill Cider,0.382
Mixed Meadia Wines,Cider,Active,,,,,,6,glintcap,2025-2026,Cote De Mort Sparkling Cider; Blanc de Pomme; Winter Overall,,Pennard Wines and Cider,0.382
Old Mountain Wine Company,Cider,Active,,TN,,,,5,cidercraft-awards; glintcap,2025-2026,Summer Peach; Honey Basil; Blackberry,TN,Mountain West Cider Company,0.443
Purely Pomme,Cider,Active,,,,,no trading name - check before adding,5,glintcap,2026,Franklin Sparkling; Franklin Still; Golden Russet,,Pomme Cider Shop,0.455
Solville,Cider,Active,,,,,no trading name - check before adding,5,glintcap,2025-2026,Solville Classic Pepin Shafrannyi; Solville Classic Japanese Quince; Ice cider,,,
Apple Barn Cider House,Cider,Active,,,,,,4,glintcap,2026,Red Lemonhead; Sweet Traditions; Hop Zin,,Dunham Apple Barn,0.591
Gravity Distribution Ltd,Cider,Active,,,,,,4,glintcap,2025-2026,"Blade Runner 2022; Terroir (Lomonosovskiy Region, 2022); Nikomu ne govori",,Meyswiss Distribution,0.473
Orcas Island Cider,Cider,Active,,,,,,4,glintcap,2026,Kingston Black; Apple Pear Cider; Golden Russet,,Island Orchard Cider,0.567
Porter’s Hard Cider Company,Cider,Active,,,,,,4,glintcap,2026,Brandy Barrel Aged Cider; Family Tree; Porter’s Pride,,Pedaler's Hard Cider,0.596
Robin Bornoff,Cider,Active,,Herefordshire,,,person? amateur class - consider X rather than a map entry,4,museum-of-cider,2023-2026,,Herefordshire,,
Alistair Smith,Cider,Active,,Nottinghamshire,,,person? amateur class - consider X rather than a map entry,3,museum-of-cider,2026,,Nottinghamshire,Sisson & Smith,0.446
Four Phantoms,Cider,Active,,,,,no trading name - check before adding,3,glintcap,2026,King of the Wharf; McIntosh ‘25; Rachel’s Lark,,Four Grand Wine & Cidery,0.35
