category_raw,rows,style_group
,425,
Sparkling Mixed & Flavoured,62,
Perry & Flavoured Cider - Sparkling,39,
Anything Goes,37,
Natural,36,
Cidre de Bretagne IGP Brut,34,
Traditional English Cider,34,
Bottle Fermented,33,
Cider Spirits,33,
Fruit and Berry,33,
Newcomer Award,31,
New World Cider - Dry,29,
Sour,29,
Cidre de Bretagne IGP Doux,29,
Keeved Cider,29,
AOP Cidre Cotentin,28,
AOP Cidre Pays d'Auge,28,
Taste/Presentation,28,
Herbal,28,
Traditional French Cider,26,
Apple Pie Spiced,26,
Cherry,26,
Bottle Conditioned / Methode Champenoise Cider,25,
Two Bottles/Cans of Cider,25,
Cider Liqueur,25,
Cidre Artisanal ou de Marque Demi-Sec,24,
Apfelwein,24,
New World Method Traditional Cider,23,
Dominant Acidity Cider,23,
Medium Perry,22,
New World Sweet Perry,22,
Semi-Dry Still Cider,22,
Fruit/Blended Cider,21,
New World Cider - Sweet,20,
Cidre de Normandie IGP Doux,20,
Perry Carbonated,20,
No/Low Alcohol Cider or Perry,19,
Cidre de Bretagne IGP Demi-Sec,19,
Pommeau de Plus de 3 Ans,19,
Eau de Vie de Cidre de Plus de 4 Ans,19,
Peach,19,
Traditional Sweet Cider,18,
New World Perry - Medium,18,
New World Dry Perry,17,
New World Method Traditional Perry,17,
Cidre de Normandie IGP Brut,17,
Specialty/Experimental Cider or Perry,16,
Poiré Doux,16,
Eau de Vie de Cidre de Moins de 4 Ans,16,
Pommeau de Moins de 3 Ans,16,
Tannin Dominant,16,
Sangria,16,
Cranberry,16,
Sweet Perry,15,
Traditional Cider - Medium Sweet,15,
Modern – Dry,15,
Fruit Wine & Perry,15,
English Dry Cider,15,
Modern Dry Cider,15,
Brut,15,
New World Cider - Medium-Sweet,14,
Oak-Aged,14,
Spiced/Botanical,14,
Cidre Rosé,14,
Cidre Artisanal Demi-Sec,14,
Cidre Fermier Extra-Brut,14,
Fire Cider,14,
Dry Perry,13,
Traditional Medium Sweet Cider,13,
Pét Nat,13,
Ice Cider - Dessert Wine,13,
Cidre Artisanal Brut,13,
Wood/Oaked,13,
Bottle Fermented (Methode Traditionelle),13,
Unlimited,13,
Traditional ‘Method Traditional’ Cider (disgorged),12,
AOP Poiré Domfront,12,
Cidre AOP Cornouaille,12,
Wood/Oaked Cider,12,
Modern Sweet Cider,12,
Aperitif Cider,12,
Medium Cider made using water and/or sugar in production,11,
New World Medium Sweet Perry,11,
New World Perry - Medium Sweet,11,
Traditional Cider - Méthode Traditionnelle (Disgorged),11,
Cidre Pays d'Auge AOP,11,
Dominant Bitterness Cider,11,
Open Category,11,
Bottle Conditioned / Methode Champenoise Perry,10,
New World Cider - Méthode Traditionnelle (Disgorged),10,
